block_number,execution_time_us,hint_construction_time_us,hint_write_time_us,rss_bytes
24019620,653541,36416,14351,4458577920
24019621,452857,32665,13517,4470472704
24019622,340813,19001,12976,4479008768
24019623,852646,29844,12760,4498997248
24019624,546696,22325,13522,4512595968
24019625,678710,25455,12180,4527489024
24019626,359255,18750,13283,4535828480
24019627,559742,24954,13630,4548149248
24019628,598916,23784,13466,4562419712
24019629,514400,33350,14322,4574183424
24019630,395445,16730,14261,4583292928
24019631,533502,26389,12839,4595056640
24019632,830857,38975,14730,4615553024
24019633,792547,36954,14590,4634214400
24019634,449323,25756,12857,4644126720
24019635,374327,25266,12220,4652498944
24019636,1041959,48426,14419,4674453504
24019637,470991,23473,13778,4685594624
24019638,631668,35515,13842,4699176960
24019639,657435,35656,14564,4714414080
24019640,445953,21995,14003,4724965376
24019641,419183,19929,14067,4734058496
24019642,595214,28010,11104,4747591680
24019643,1040668,36300,13856,4773134336
24019644,410738,21587,13802,4782964736
24019645,633617,34344,13865,4796891136
24019646,106398,5936,13717,4799709184
24019647,659570,34182,14376,4813963264
24019648,1286915,46236,14422,4844748800
24019649,520843,30944,14039,4857757696
24019650,191670,11257,12011,4862345216
24019651,813549,37908,14742,4880498688
24019652,464564,26203,13648,4891541504
24019653,933034,34685,14356,4914216960
24019654,788596,32465,14006,4933713920
24019655,2184492,55649,15532,4997529600
24019656,737287,32961,14737,5016338432
24019657,540709,35623,14381,5029478400
24019658,644252,30488,15421,5043814400
24019659,775832,31400,15322,5060952064
24019660,324254,18350,14649,5068734464
24019661,402603,31045,14759,5076631552
24019662,619289,31351,16480,5089886208
24019663,653388,36861,13892,5103239168
24019664,397217,23712,12606,5112053760
24019665,513021,29009,13222,5123047424
24019666,478828,20395,12658,5132976128
24019667,487097,32509,14188,5143724032
24019668,326428,18382,13022,5151326208
24019669,407683,18109,12653,5160058880
24019670,690639,32085,12540,5176016896
24019671,574079,32853,13867,5188698112
24019672,637684,31153,12820,5203787776
24019673,491551,27731,13318,5214912512
24019674,355246,20744,13443,5223432192
24019675,583754,25553,12127,5236670464
24019676,520382,29432,12791,5247942656
24019677,579253,35407,12935,5259968512
24019678,327180,22778,13474,5267636224
24019679,431840,21976,11745,5276696576
24019680,823981,34234,12629,5295980544
24019681,356581,20423,12671,5303631872
24019682,469601,26013,12250,5312561152
24019683,456366,26456,14540,5322113024
24019684,568041,35305,13566,5334614016
24019685,667648,29975,14337,5350539264
24019686,509029,25912,13658,5361369088
24019687,730945,32615,13903,5377982464
24019688,286328,17575,13433,5384683520
24019689,550484,27853,10557,5395824640
24019690,448892,22270,13993,5406687232
24019691,480217,27888,14915,5416370176
24019692,712656,36056,13384,5432082432
24019693,531113,29769,15612,5444337664
24019694,356732,14603,14147,5452070912
24019695,498329,25395,13523,5462671360
24019696,736016,29827,14365,5479694336
24019697,177695,10905,13237,5484183552
24019698,959659,32496,14686,5506383872
24019699,474202,26005,14109,5516443648
24019700,697546,46106,14877,5532647424
24019701,511636,27127,13672,5544214528
24019702,414566,15364,12935,5554208768
24019703,871858,33606,12775,5574868992
24019704,777956,39387,14846,5592809472
24019705,527168,30666,12679,5603704832
24019706,377947,23882,14861,5613322240
24019707,577081,30099,14321,5625921536
24019708,578767,26663,15685,5639241728
24019709,349560,19918,14747,5646663680
24019710,488406,18294,14189,5658640384
24019711,904988,54046,16575,5681119232
24019712,83012,2117,12703,5683200000
24019713,38144,579,11461,5684199424
24019714,720606,34542,14733,5701369856
24019715,1199341,41627,15110,5729189888
24019716,367830,21550,14992,5738872832
24019717,1023331,51715,16188,5762105344
24019718,553697,26612,14460,5774295040
24019719,395474,16392,14521,5782683648
24019720,776754,14309,13905,5798117376
24019721,132048,7145,12236,5801590784
24019722,524983,36323,16004,5814566912
24019723,728754,36719,14889,5829394432
24019724,510319,10260,13068,5839060992
24019725,359303,24635,14070,5849235456
24019726,679151,41653,15931,5865684992
24019727,403751,30365,14956,5873909760
24019728,435267,26364,14331,5883592704
24019729,665912,32915,15366,5898584064
24019730,264532,19099,14035,5904121856
24019731,664786,17587,14217,5919621120
24019732,344066,22149,13350,5927829504
24019733,359947,20387,13894,5935284224
24019734,125188,9271,12920,5938692096
24019735,957100,44268,14842,5962137600
24019736,457729,25229,14271,5972819968
24019737,585627,16861,13746,5985091584
24019738,504053,13001,12598,5995642880
24019739,331499,18521,14012,6004015104
24019740,712576,17999,11127,6020202496
24019741,325723,25722,14591,6027952128
24019742,214798,11501,12098,6032343040
24019743,702567,40621,15572,6047481856
24019744,466197,25497,13112,6057476096
24019745,494247,33567,15321,6067404800
24019746,332198,22696,13455,6074744832
24019747,561924,30562,14421,6087852032
24019748,557274,29406,16512,6100631552
24019749,451323,29264,14445,6110412800
24019750,474553,23208,14517,6121209856
24019751,688321,38050,15504,6136250368
24019752,477549,8582,12653,6146408448
24019753,411448,23724,13090,6157565952
24019754,492824,26775,13583,6168084480
24019755,168603,12133,12635,6171901952
24019756,188694,8384,12789,6176391168
24019757,1311049,44411,14405,6207406080
24019758,837526,29776,13593,6227197952
24019759,431338,13845,12657,6236209152
24019760,411515,26005,12913,6245711872
24019761,396447,27244,13314,6254247936
24019762,595305,30763,12937,6267371520
