block_number,wait_time_us,execution_time_us,rss_bytes
24019447,0,15977,12166037504
24019448,0,10250,12175785984
24019449,0,23469,12141772800
24019450,0,10918,12150145024
24019451,0,7733,12156239872
24019452,0,6730,12163284992
24019453,0,18590,12167692288
24019454,0,8316,12178096128
24019455,0,11270,12185042944
24019456,0,3558,12186058752
24019457,0,17270,12192137216
24019458,0,7445,12200099840
24019459,0,9877,12207685632
24019460,0,10700,12214943744
24019461,0,7184,12221726720
24019462,0,11785,12226953216
24019463,0,11820,12232835072
24019464,0,24635,12233228288
24019465,0,8667,12241403904
24019466,0,9757,12247662592
24019467,0,9598,12254871552
24019468,0,9695,12260392960
24019469,0,16899,12267356160
24019470,0,5237,12273680384
24019471,0,12569,12279398400
24019472,0,10392,12288311296
24019473,0,3291,12290080768
24019474,0,12517,12293079040
24019475,0,6722,12301434880
24019476,0,10725,12314624000
24019477,0,8768,12320899072
24019478,0,8651,12326682624
24019479,0,11751,12333547520
24019480,0,8645,12340215808
24019481,0,9563,12346097664
24019482,0,10289,12340576256
24019483,0,11335,12348456960
24019484,0,10887,12355911680
24019485,0,11613,12363661312
24019486,0,14354,12369592320
24019487,0,10872,12377554944
24019488,0,16922,12385026048
24019489,0,10107,12391219200
24019490,0,9511,12390809600
24019491,0,9257,12397297664
24019492,0,11574,12403458048
24019493,0,4421,12407685120
24019494,0,16559,12413222912
24019495,0,8073,12422086656
24019496,0,4780,12426395648
24019497,0,6820,12428328960
24019498,0,13103,12431261696
24019499,0,9398,12438700032
24019500,0,12397,12442501120
24019501,0,14683,12448858112
24019502,0,6511,12453560320
24019503,0,7602,12453642240
24019504,0,13434,12459098112
24019505,0,14204,12463636480
24019506,0,7684,12467863552
24019507,0,10432,12471566336
24019508,0,8837,12476366848
24019509,0,9372,12480839680
24019510,0,8010,12485869568
24019511,0,8552,12490080256
24019512,0,9605,12494307328
24019513,0,7478,12498288640
24019514,0,11382,12503662592
24019515,0,8550,12509233152
24019516,0,7206,12514279424
24019517,0,2024,12518555648
24019518,0,11088,12523208704
24019519,0,4715,12530974720
24019520,0,1667,12536020992
24019521,0,23253,12534792192
24019522,0,5063,12543803392
24019523,0,10214,12550864896
24019524,0,8412,12554649600
24019525,0,14814,12564054016
24019526,0,1868,12570492928
24019527,0,5921,12572786688
24019528,0,8156,12577423360
24019529,0,19592,12584075264
24019530,0,10257,12591038464
24019531,0,6427,12596379648
24019532,0,5537,12600524800
24019533,0,12501,12606423040
24019534,0,9315,12612009984
24019535,0,8651,12617465856
24019536,0,9775,12609372160
24019537,0,6060,12613255168
24019538,0,7183,12617875456
24019539,0,13643,12622069760
24019540,0,3232,12626542592
24019541,0,15640,12629737472
24019542,0,10895,12636012544
24019543,0,4014,12640632832
24019544,0,14439,12644007936
24019545,0,8877,12650659840
24019546,0,2674,12654723072
24019547,0,6088,12656427008
24019548,0,13547,12660670464
24019549,0,2936,12665847808
24019550,0,16682,12668928000
24019551,0,9827,12674613248
24019552,0,9120,12679708672
24019553,0,3529,12682362880
24019554,0,4366,12685852672
24019555,0,29501,12685017088
24019556,0,11481,12690882560
24019557,0,9454,12694749184
24019558,0,10423,12699336704
24019559,0,5709,12704989184
24019560,0,9499,12708773888
24019561,0,8133,12713115648
24019562,0,11237,12717031424
24019563,0,7219,12720898048
24019564,0,10554,12724240384
24019565,0,8482,12727795712
24019566,0,7857,12732268544
24019567,0,5130,12735217664
24019568,0,3525,12736724992
24019569,0,15957,12739985408
24019570,0,10588,12746653696
24019571,0,6632,12750749696
24019572,0,5234,12754796544
24019573,0,13878,12757909504
24019574,0,10486,12763512832
24019575,0,8310,12767576064
24019576,0,8863,12770541568
24019577,0,10100,12770410496
24019578,0,10436,12774785024
24019579,0,6825,12780568576
24019580,0,8008,12783976448
24019581,0,9853,12787564544
24019582,0,8434,12790906880
24019583,0,8098,12795248640
24019584,0,10727,12799049728
24019585,0,10369,12803653632
24019586,0,5642,12807192576
24019587,0,12064,12809928704
24019588,0,10350,12814368768
24019589,0,7526,12817350656
24019590,0,9526,12820267008
24019591,0,10028,12824412160
24019592,0,6587,12829343744
24019593,0,7276,12832718848
24019594,0,10933,12835831808
24019595,0,11641,12840681472
24019596,0,7566,12845760512
24019597,0,10154,12842270720
24019598,0,9346,12846776320
24019599,0,9078,12850544640
24019600,0,8482,12855869440
24019601,0,11668,12859932672
24019602,0,13908,12868108288
24019603,0,12690,12876169216
24019604,0,11733,12883263488
24019605,0,7137,12891308032
24019606,0,7163,12897910784
24019607,0,3014,12903104512
24019608,0,7242,12908036096
24019609,0,13216,12917997568
24019610,0,2245,12929318912
24019611,0,20231,12924518400
24019612,0,8294,12928729088
24019613,0,11322,12937789440
24019614,0,18954,12949372928
24019615,0,2668,12958515200
24019616,0,16551,12962070528
24019617,0,6595,12971196416
24019618,0,10228,12978651136
24019619,0,10579,12989071360
24019620,0,10259,12995657728
24019621,0,8208,13000278016
24019622,0,14984,13003374592
24019623,0,22800,13008257024
24019624,0,8487,13012582400
24019625,0,10590,13016662016
24019626,0,9146,13021413376
24019627,0,9450,13024919552
24019628,0,9898,13029212160
24019629,0,9745,13033816064
24019630,0,6739,13037453312
24019631,0,6400,13040041984
24019632,0,9887,13043318784
24019633,0,9800,13048840192
24019634,0,8980,13053460480
24019635,0,4318,13056376832
24019636,0,15877,13061439488
24019637,0,7096,13068222464
24019638,0,9856,13071695872
24019639,0,7862,13075988480
24019640,0,7562,13080985600
24019641,0,7239,13085097984
24019642,0,6914,13080150016
24019643,0,15570,13086392320
24019644,0,6402,13090258944
24019645,0,9176,13094387712
24019646,0,2573,13098516480
24019647,0,9573,13100220416
24019648,0,15409,13104168960
24019649,0,8200,13110493184
24019650,0,4207,13114425344
24019651,0,13197,13117587456
24019652,0,9484,13122781184
24019653,0,17559,13127958528
24019654,0,7294,13132775424
24019655,0,11479,13137952768
24019656,0,10623,13143293952
24019657,0,8226,13148504064
24019658,0,10577,13152813056
24019659,0,12580,13157367808
24019660,0,5537,13161021440
24019661,0,8880,13163462656
24019662,0,8988,13165314048
24019663,0,11891,13169360896
24019664,0,8698,13175242752
24019665,0,9588,13179764736
24019666,0,7720,13184106496
24019667,0,8501,13189709824
24019668,0,5508,13193887744
24019669,0,7397,13197361152
24019670,0,14525,13202735104
24019671,0,11523,13209288704
24019672,0,8043,13215793152
24019673,0,8797,13223215104
24019674,0,6406,13226704896
24019675,0,9627,13230899200
24019676,0,8330,13235109888
24019677,0,9778,13239517184
24019678,0,7739,13244219392
24019679,0,9788,13247135744
24019680,0,9622,13250969600
24019681,0,6945,13254901760
24019682,0,8400,13257981952
24019683,0,9466,13261832192
24019684,0,9902,13265289216
24019685,0,10388,13269729280
24019686,0,9396,13274021888
24019687,0,10552,13278527488
24019688,0,5981,13260357632
24019689,0,11268,13263781888
24019690,0,8581,13268041728
24019691,0,9818,13271695360
24019692,0,15204,13276823552
24019693,0,8953,13281050624
24019694,0,6518,13284425728
24019695,0,14244,13288243200
24019696,0,9665,13292322816
24019697,0,2501,13296959488
24019698,0,21142,13301235712
24019699,0,7860,13306757120
24019700,0,11925,13311361024
24019701,0,7560,13316046848
24019702,0,6397,13320454144
24019703,0,19344,13324697600
24019704,0,9477,13329661952
24019705,0,10447,13336166400
24019706,0,7649,13340639232
24019707,0,11618,13344997376
24019708,0,11060,13349224448
24019709,0,6218,13352402944
24019710,0,6913,13356810240
24019711,0,12663,13347061760
24019712,0,2972,13352697856
24019713,0,223,13353369600
24019714,0,8177,13355040768
24019715,0,24365,13362593792
24019716,0,4062,13368705024
24019717,0,18012,13373521920
24019718,0,11615,13379436544
24019719,0,7911,13382877184
24019720,0,8695,13386137600
24019721,0,4087,13390200832
24019722,0,7789,13393526784
24019723,0,12780,13397868544
24019724,0,7936,13402456064
24019725,0,7975,13405634560
24019726,0,7281,13408845824
24019727,0,8473,13413580800
24019728,0,7984,13417955328
24019729,0,8816,13421395968
24019730,0,5523,13424984064
24019731,0,13351,13428817920
24019732,0,6586,13433831424
24019733,0,7153,13436944384
24019734,0,2206,13439631360
24019735,0,13962,13443252224
24019736,0,8866,13448118272
24019737,0,8026,13451132928
24019738,0,10710,13454852096
24019739,0,6750,13446447104
24019740,0,17503,13450199040
24019741,0,7885,13454213120
24019742,0,4973,13457096704
24019743,0,13609,13460045824
24019744,0,7804,13463764992
24019745,0,10214,13467566080
24019746,0,5673,13471694848
24019747,0,13223,13477740544
24019748,0,9461,13482295296
24019749,0,7914,13486112768
24019750,0,7465,13491273728
24019751,0,8388,13495975936
24019752,0,6964,13501644800
24019753,0,7701,13509001216
24019754,0,11446,13512310784
24019755,0,5133,13516013568
24019756,0,4903,13517733888
24019757,0,26927,13519568896
24019758,0,10410,13526106112
24019759,0,7595,13531283456
24019760,0,9254,13536051200
24019761,0,8262,13540540416
24019762,0,9712,13545603072
24019763,0,4156,13549600768
24019764,0,6433,13552467968
24019765,0,10144,13556940800
24019766,0,8885,13560643584
24019767,0,11880,13564657664
24019768,0,9508,13568540672
24019769,0,5714,13571932160
24019770,0,7643,13574504448
24019771,0,6935,13578403840
24019772,0,5714,13582532608
24019773,0,4833,13584318464
24019774,0,10260,13585825792
24019775,0,8814,13581090816
24019776,0,7276,13584285696
24019777,0,6383,13588119552
24019778,0,11048,13591576576
24019779,0,7288,13594951680
24019780,0,9953,13598113792
24019781,0,10509,13601226752
24019782,0,8747,13605109760
24019783,0,10820,13609664512
24019784,0,7009,13613547520
24019785,0,8678,13617135616
24019786,0,8058,13620609024
24019787,0,6174,13623656448
24019788,0,12800,13628702720
24019789,0,7202,13634617344
24019790,0,9912,13638483968
24019791,0,6346,13643169792
24019792,0,8097,13646528512
24019793,0,8025,13649362944
24019794,0,10571,13652623360
24019795,0,8398,13656047616
24019796,0,7492,13658931200
24019797,0,10844,13661241344
24019798,0,7611,13664911360
24019799,0,6950,13667811328
24019800,0,7520,13670498304
24019801,0,6661,13673332736
24019802,0,13856,13675954176
24019803,0,4708,13678968832
24019804,0,12876,13680590848
24019805,0,12422,13685784576
24019806,0,2650,13687914496
24019807,0,3406,13688946688
24019808,0,19162,13691944960
24019809,0,5321,13697662976
24019810,0,6451,13700464640
24019811,0,16267,13705330688
24019812,0,14416,13710721024
24019813,0,6055,13716094976
24019814,0,7857,13719027712
24019815,0,9885,13722779648
24019816,0,5566,13726531584
24019817,0,9975,13730152448
24019818,0,3441,13734084608
24019819,0,18755,13735886848
24019820,0,5803,13740670976
24019821,0,4248,13741719552
24019822,0,15403,13745012736
24019823,0,10822,13751402496
24019824,0,4987,13755891712
24019825,0,11964,13759643648
24019826,0,10735,13764018176
24019827,0,4681,13769162752
24019828,0,11996,13774225408
24019829,0,4773,13778944000
24019830,0,1846,13781467136
24019831,0,7581,13784367104
24019832,0,140,13788643328
24019833,0,1462,13789003776
24019834,0,8006,13790527488
24019835,0,19643,13794377728
24019836,0,2952,13799424000
24019837,0,13479,13803323392
24019838,0,6732,13809467392
24019839,0,15229,13810794496
24019840,0,3842,13794213888
24019841,0,6452,13795115008
24019842,0,14072,13799735296
24019843,0,17175,13804568576
24019844,0,10044,13809008640
24019845,0,10492,13812006912
24019846,0,9949,13817020416
24019847,0,7743,13820493824
24019848,0,6653,13822427136
24019849,0,5877,13824540672
24019850,0,9509,13826621440
24019851,0,4212,13829439488
24019852,0,11610,13831503872
24019853,0,5587,13834878976
24019854,0,9833,13837795328
24019855,0,14311,13841268736
24019856,0,8573,13845184512
24019857,0,10786,13846904832
24019858,0,8509,13850001408
24019859,0,9445,13852934144
24019860,0,5826,13856735232
24019861,0,9486,13859110912
24019862,0,7698,13862731776
24019863,0,9414,13864894464
24019864,0,11558,13866369024
24019865,0,9437,13870956544
24019866,0,7599,13874741248
24019867,0,9798,13877051392
24019868,0,4841,13879902208
24019869,0,14082,13881475072
24019870,0,170,13884293120
24019871,0,6722,13885554688
24019872,0,6225,13887160320
24019873,0,13309,13891321856
24019874,0,7436,13895024640
24019875,0,7849,13897957376
24019876,0,3240,13900169216
24019877,0,12027,13901561856
24019878,0,9877,13905133568
24019879,0,6815,13907951616
24019880,0,2482,13909901312
24019881,0,13554,13911343104
24019882,0,7933,13915095040
24019883,0,11104,13918633984
24019884,0,5908,13922484224
24019885,0,2588,13924859904
24019886,0,13098,13926465536
24019887,0,11129,13930627072
24019888,0,7464,13933248512
24019889,0,7694,13935837184
24019890,0,9990,13938835456
24019891,0,2157,13941817344
24019892,0,13417,13943668736
24019893,0,4877,13947682816
24019894,0,10149,13951582208
24019895,0,11053,13955579904
24019896,0,8375,13959135232
24019897,0,2825,13961887744
24019898,0,10996,13963247616
24019899,0,6937,13968343040
24019900,0,6581,13971357696
24019901,0,8119,13975535616
24019902,0,6333,13979664384
24019903,0,9100,13981958144
24019904,0,9050,13986594816
24019905,0,3356,13988478976
24019906,0,9589,13989658624
24019907,0,10291,13993443328
24019908,0,8542,13997735936
24019909,0,8097,14000881664
24019910,0,9350,14004731904
24019911,0,5597,14007730176
24019912,0,6221,14010597376
24019913,0,6746,14014021632
24019914,0,7417,14016987136
24019915,0,6439,14019084288
24019916,0,10703,14020804608
24019917,0,10899,14024228864
24019918,0,12144,14028210176
24019919,0,7437,14031339520
24019920,0,7414,14033993728
24019921,0,6789,14035763200
24019922,0,6802,14038138880
24019923,0,6097,14040055808
24019924,0,7729,14041907200
24019925,0,9867,14044184576
24019926,0,8189,14047232000
24019927,0,7393,14051049472
24019928,0,6211,14054129664
24019929,0,8385,14056914944
24019930,0,6698,14060175360
24019931,0,6575,14062583808
24019932,0,8907,14065352704
24019933,0,10333,14068252672
24019934,0,6672,14073430016
24019935,0,8706,14076936192
24019936,0,4795,14080720896
24019937,0,12357,14083801088
24019938,0,6794,14088683520
24019939,0,9419,14090633216
24019940,0,8870,14094237696
24019941,0,9256,14097956864
24019942,0,4498,14101790720
24019943,0,10527,14104707072
24019944,0,7769,14108590080
24019945,0,7796,14112227328
24019946,0,5132,14115995648
24019947,0,9467,14118420480
24019948,0,7824,14121680896
24019949,0,7196,14123876352
24019950,0,8553,14127169536
24019951,0,8590,14129938432
24019952,0,6794,14133313536
24019953,0,12222,14136803328
24019954,0,8689,14141243392
24019955,0,14495,14129414144
24019956,0,3372,14132035584
24019957,0,14714,14134247424
24019958,0,7064,14138753024
24019959,0,559,14142685184
24019960,0,17046,14145093632
24019961,0,8561,14149763072
24019962,0,8455,14153515008
24019963,0,7644,14158200832
24019964,0,3874,14161281024
24019965,0,4687,14163673088
24019966,0,6737,14167654400
24019967,0,7036,14169063424
24019968,0,3709,14172258304
24019969,0,5099,14176321536
24019970,0,9749,14179057664
24019971,0,10689,14181023744
24019972,0,11407,14185332736
24019973,0,8466,14191493120
24019974,0,10580,14197735424
24019975,0,9322,14201733120
24019976,0,11572,14205976576
24019977,0,4921,14210318336
24019978,0,8510,14213382144
24019979,0,3626,14217183232
24019980,0,2342,14218772480
24019981,0,16446,14221410304
24019982,0,13045,14223884288
24019983,0,7636,14228848640
24019984,0,10742,14231961600
24019985,0,7262,14236024832
24019986,0,7502,14238695424
24019987,0,6965,14241529856
24019988,0,7441,14244167680
24019989,0,8054,14248312832
24019990,0,6785,14251524096
24019991,0,3062,14254014464
24019992,0,2487,14255538176
24019993,0,17128,14257422336
24019994,0,9244,14262386688
24019995,0,6914,14265827328
24019996,0,2995,14268760064
24019997,0,5618,14269644800
24019998,0,5562,14272790528
24019999,0,16158,14275526656
24020000,0,7506,14280245248
24020001,0,6811,14283046912
24020002,0,7987,14285602816
24020003,0,8045,14288945152
24020004,0,6289,14292844544
24020005,0,9162,14295678976
24020006,0,7116,14299201536
24020007,0,6305,14302134272
24020008,0,8616,14305460224
24020009,0,8173,14307868672
24020010,0,5653,14310342656
24020011,0,8398,14313209856
24020012,0,7941,14316748800
24020013,0,5356,14319927296
24020014,0,8396,14321844224
24020015,0,11525,14324809728
24020016,0,10855,14328610816
24020017,0,6045,14333509632
24020018,0,11686,14336163840
24020019,0,3509,14339637248
24020020,0,10051,14342340608
24020021,0,9314,14345519104
24020022,0,6153,14348632064
24020023,0,7281,14351466496
24020024,0,8293,14354169856
24020025,0,5659,14357987328
24020026,0,5439,14359838720
24020027,0,6179,14362116096
24020028,0,6612,14363607040
24020029,0,13616,14365802496
24020030,0,6527,14370242560
24020031,0,5892,14373076992
24020032,0,6901,14375485440
24020033,0,7207,14379270144
24020034,0,7892,14382235648
24020035,0,8752,14385463296
24020036,0,5998,14387822592
24020037,0,4173,14390280192
24020038,0,9873,14393327616
24020039,0,7562,14396801024
24020040,0,4976,14399700992
24020041,0,7052,14401552384
24020042,0,10411,14404141056
24020043,0,1909,14406893568
24020044,0,18714,14407991296
24020045,0,16241,14409940992
24020046,0,4489,14413758464
24020047,0,5597,14416035840
24020048,0,2787,14418132992
24020049,0,11067,14409859072
24020050,0,17441,14414020608
24020051,0,9468,14419099648
24020052,0,10896,14421082112
24020053,0,9109,14425243648
24020054,0,6723,14428209152
24020055,0,7695,14431158272
24020056,0,5996,14433746944
24020057,0,12166,14437187584
24020058,0,7538,14441021440
24020059,0,8551,14444347392
24020060,0,6771,14446837760
24020061,0,11478,14450049024
24020062,0,7022,14454390784
24020063,0,12215,14458339328
24020064,0,6831,14463107072
24020065,0,13992,14466547712
24020066,0,3096,14469791744
24020067,0,14062,14470987776
24020068,0,5691,14476656640
24020069,0,4131,14478753792
24020070,0,12424,14482751488
24020071,0,12749,14487879680
24020072,0,6587,14492598272
24020073,0,2973,14495563776
24020074,0,6656,14496415744
24020075,0,16451,14499708928
24020076,0,8467,14504755200
24020077,0,8066,14507032576
24020078,0,6073,14510112768
24020079,0,10775,14511947776
24020080,0,9453,14517043200
24020081,0,6984,14521008128
24020082,0,2189,14523334656
24020083,0,10875,14524334080
24020084,0,3442,14529183744
24020085,0,4476,14531608576
24020086,0,17551,14534508544
24020087,0,11946,14539603968
24020088,0,8031,14543339520
24020089,0,7105,14545174528
24020090,0,8081,14548566016
24020091,0,7590,14552317952
