block_number,wait_time_us,execution_time_us,rss_bytes
24019447,0,27590,11730927616
24019448,0,14398,11730272256
24019449,0,13838,11743297536
24019450,0,11716,11749326848
24019451,0,7578,11755208704
24019452,0,6770,11758878720
24019453,0,19530,11761090560
24019454,0,8475,11769888768
24019455,0,12138,11774263296
24019456,0,3462,11779047424
24019457,0,18510,11784814592
24019458,0,17828,11780341760
24019459,0,10104,11790041088
24019460,0,11880,11801051136
24019461,0,6873,11809161216
24019462,0,11398,11818156032
24019463,0,11898,11827642368
24019464,0,25015,11827970048
24019465,0,9165,11836489728
24019466,0,10160,11842650112
24019467,0,9222,11848318976
24019468,0,8898,11853905920
24019469,0,15886,11859329024
24019470,0,5071,11864293376
24019471,0,12065,11869437952
24019472,0,22266,11880857600
24019473,0,2967,11889999872
24019474,0,12971,11898109952
24019475,0,7065,11911479296
24019476,0,10947,11921522688
24019477,0,8599,11929354240
24019478,0,8246,11934318592
24019479,0,11931,11924570112
24019480,0,9103,11934957568
24019481,0,9717,11944820736
24019482,0,10625,11955421184
24019483,0,12153,11967938560
24019484,0,24275,11969544192
24019485,0,12789,11980374016
24019486,0,14899,11993088000
24019487,0,11428,12004147200
24019488,0,29144,12003639296
24019489,0,10150,12012781568
24019490,0,9946,12023791616
24019491,0,9332,12033523712
24019492,0,13137,12040617984
24019493,0,4574,12044861440
24019494,0,16341,12050939904
24019495,0,8150,12051742720
24019496,0,4572,12057231360
24019497,0,6579,12059115520
24019498,0,13556,12063080448
24019499,0,9331,12077940736
24019500,0,25245,12091588608
24019501,0,15099,12106481664
24019502,0,6503,12112691200
24019503,0,7227,12117475328
24019504,0,13912,12127584256
24019505,0,15036,12126175232
24019506,0,8599,12135579648
24019507,0,12081,12143689728
24019508,0,9997,12152766464
24019509,0,10235,12161531904
24019510,0,8105,12170051584
24019511,0,9012,12173836288
24019512,0,10217,12181553152
24019513,0,8196,12188516352
24019514,0,12543,12195512320
24019515,0,9828,12201672704
24019516,0,7801,12206276608
24019517,0,2250,12210667520
24019518,0,11743,12215697408
24019519,0,4855,12227248128
24019520,0,1741,12229001216
24019521,0,12075,12238831616
24019522,0,5217,12248875008
24019523,0,10383,12254478336
24019524,0,8841,12258181120
24019525,0,15554,12266913792
24019526,0,1919,12273729536
24019527,0,6121,12278235136
