block_number,execution_time_us,rss_bytes
24019709,287335,5542330368
24019710,440189,5554421760
24019711,808474,5576065024
24019712,75946,5578113024
24019713,32322,5579161600
24019714,606634,5595398144
24019715,1031505,5620465664
24019716,347839,5629657088
24019717,867717,5650956288
24019718,462782,5662130176
24019719,363281,5671288832
24019720,534618,5684396032
24019721,149727,5687508992
24019722,764187,5707857920
24019723,628426,5722521600
24019724,400581,5732253696
24019725,384484,5741854720
24019726,609246,5758664704
24019727,407536,5766856704
24019728,418583,5776195584
24019729,520364,5788434432
24019730,249122,5793562624
24019731,593824,5807308800
24019732,323872,5814583296
24019733,319171,5821825024
24019734,119573,5824118784
24019735,853590,5847252992
24019736,397328,5856411648
24019737,406906,5865766912
24019738,450635,5875793920
24019739,328846,5884051456
24019740,579977,5897945088
24019741,331154,5905956864
24019742,199428,5910429696
24019743,591598,5925093376
24019744,362169,5933236224
24019745,457928,5943148544
24019746,284586,5949587456
24019747,495081,5961891840
24019748,502172,5974589440
24019749,374514,5983223808
24019750,416112,5994020864
24019751,586381,6008815616
24019752,336901,6017253376
24019753,404547,6027411456
24019754,407613,6036602880
24019755,183492,6040354816
24019756,171859,6044794880
24019757,1184521,6074744832
24019758,710572,6092734464
24019759,358364,6100926464
24019760,407741,6110085120
24019761,355454,6118080512
24019762,600049,6131269632
24019763,299711,6138658816
24019764,365101,6147293184
24019765,576231,6161547264
24019766,466707,6172377088
24019767,692833,6191038464
24019768,678079,6209224704
24019769,304618,6216597504
24019770,434607,6227525632
24019771,452527,6238142464
24019772,303780,6245105664
24019773,193309,6249480192
24019774,602653,6264340480
24019775,449603,6275645440
24019776,551254,6289653760
24019777,444951,6302285824
24019778,570664,6316343296
24019779,455191,6327599104
24019780,410341,6336856064
24019781,455943,6347341824
24019782,673850,6366248960
24019783,571678,6379896832
24019784,311049,6387613696
24019785,391184,6396837888
24019786,319867,6403981312
24019787,529539,6417039360
24019788,833296,6437634048
24019789,547175,6452150272
24019790,499330,6463094784
24019791,290057,6469402624
24019792,312979,6476398592
24019793,396485,6485164032
24019794,453084,6495813632
24019795,342222,6503546880
24019796,276660,6509756416
24019797,588702,6524272640
24019798,422791,6534381568
24019799,309847,6541557760
24019800,375586,6550274048
24019801,419457,6560038912
24019802,457577,6569394176
24019803,264354,6576619520
24019804,830705,6596411392
24019805,434790,6606553088
24019806,91777,6607765504
24019807,178801,6610878464
24019808,850445,6630178816
24019809,253472,6635749376
24019810,493922,6646185984
24019811,616738,6659047424
24019812,786310,6676578304
24019813,352028,6684672000
24019814,417696,6694944768
24019815,417427,6704070656
24019816,302486,6711083008
24019817,566069,6724354048
24019818,136809,6728073216
24019819,637906,6742196224
24019820,171079,6745948160
24019821,198475,6749487104
24019822,716866,6765920256
24019823,460742,6775701504
24019824,235848,6780321792
24019825,540089,6791888896
24019826,506624,6802866176
24019827,452937,6813777920
24019828,623117,6827180032
24019829,163831,6830424064
24019830,171133,6833242112
24019831,379396,6840582144
24019832,9649,6840795136
24019833,82166,6842023936
24019834,336397,6849249280
24019835,859245,6868385792
24019836,468564,6880346112
24019837,811974,6899204096
24019838,219898,6904283136
24019839,996200,6929760256
24019840,106133,6932103168
24019841,474616,6942687232
24019842,599255,6955646976
24019843,622391,6969442304
24019844,343715,6976880640
24019845,470058,6986858496
24019846,454890,6995476480
24019847,400137,7004667904
24019848,383812,7013187584
24019849,275550,7019085824
24019850,439758,7028703232
24019851,227572,7033896960
24019852,599447,7047053312
24019853,314857,7054229504
24019854,478664,7064682496
24019855,590037,7078871040
24019856,283371,7085260800
24019857,466458,7095861248
24019858,312140,7103037440
24019859,514067,7114113024
24019860,262754,7119159296
24019861,489645,7131054080
24019862,683414,7149666304
24019863,338897,7158005760
24019864,492999,7168360448
24019865,407437,7176339456
24019866,388314,7184449536
24019867,392132,7193493504
24019868,145757,7196901376
24019869,554887,7209566208
24019870,23438,7209746432
24019871,237386,7214874624
24019872,582342,7230193664
24019873,679553,7245676544
24019874,404892,7255162880
24019875,350147,7262257152
24019876,93849,7264321536
24019877,700431,7281967104
24019878,438673,7291912192
24019879,260954,7297253376
24019880,84529,7299039232
24019881,558191,7311933440
24019882,361541,7320322048
24019883,548886,7332790272
24019884,284828,7339622400
24019885,72247,7341146112
24019886,699195,7356923904
24019887,394337,7365656576
24019888,378676,7372914688
24019889,270826,7378780160
24019890,477316,7389265920
24019891,132507,7391821824
24019892,768867,7411761152
24019893,261060,7418527744
24019894,444642,7428882432
24019895,446457,7438155776
24019896,304894,7443824640
24019897,128430,7447150592
24019898,636515,7461863424
24019899,468393,7473217536
24019900,307524,7479721984
24019901,480212,7490830336
24019902,287498,7497580544
24019903,431727,7507410944
24019904,362601,7516045312
24019905,69652,7517323264
24019906,368334,7525171200
24019907,424592,7535345664
24019908,368531,7544356864
24019909,532663,7558152192
24019910,440125,7569031168
24019911,280449,7575076864
24019912,350949,7584006144
24019913,356586,7592230912
24019914,322721,7599276032
24019915,827827,7623573504
24019916,403311,7631994880
24019917,671493,7649198080
24019918,462228,7659618304
24019919,393418,7668187136
24019920,294933,7674249216
24019921,325691,7680868352
24019922,402524,7689945088
24019923,369802,7698841600
24019924,451305,7710670848
24019925,371772,7719223296
24019926,360915,7726858240
24019927,432617,7737163776
24019928,371724,7745470464
24019929,395821,7753170944
24019930,338299,7760904192
24019931,317087,7767654400
24019932,310383,7774502912
24019933,605944,7788134400
24019934,282416,7794376704
24019935,441491,7804305408
24019936,263898,7809220608
24019937,663619,7824687104
24019938,241361,7830093824
24019939,453974,7840481280
24019940,490039,7851163648
24019941,501151,7862403072
24019942,167166,7866204160
24019943,452521,7875854336
24019944,284361,7881015296
24019945,396445,7889682432
24019946,217468,7894237184
24019947,451970,7903920128
24019948,262782,7908737024
24019949,376285,7917731840
24019950,406197,7926579200
24019951,363128,7934246912
24019952,339357,7941373952
24019953,469335,7952482304
24019954,412764,7961853952
24019955,555357,7974748160
24019956,135119,7977549824
24019957,524184,7989444608
24019958,446822,8001224704
24019959,20433,8001470464
24019960,726561,8017444864
24019961,417755,8026210304
24019962,656338,8041660416
24019963,307084,8047525888
24019964,140583,8049459200
24019965,316018,8054915072
24019966,166691,8058470400
24019967,304136,8063827968
24019968,257736,8068841472
24019969,220839,8073641984
24019970,312100,8080916480
24019971,478923,8089583616
24019972,491209,8100331520
24019973,555345,8112783360
24019974,527112,8124170240
24019975,421025,8133509120
24019976,471246,8143273984
24019977,193294,8147304448
24019978,378163,8155021312
24019979,135648,8157822976
24019980,148114,8160329728
24019981,377271,8168505344
24019982,578681,8181858304
24019983,299479,8188264448
24019984,431249,8196931584
24019985,223423,8202420224
24019986,311478,8209154048
24019987,276411,8215265280
24019988,398900,8224751616
24019989,418759,8234893312
24019990,320378,8241741824
24019991,158704,8245952512
24019992,81583,8247738368
24019993,676617,8263303168
24019994,353801,8271265792
24019995,258369,8276443136
24019996,109538,8279048192
24019997,247985,8284831744
24019998,220666,8289484800
24019999,729294,8306556928
24020000,271167,8312242176
24020001,241666,8316977152
24020002,323015,8323366912
24020003,365209,8330788864
24020004,318111,8337375232
24020005,300127,8342896640
24020006,286911,8349057024
24020007,337035,8356806656
24020008,246868,8361525248
24020009,316794,8367325184
24020010,400694,8377122816
24020011,326565,8383905792
24020012,398719,8393031680
24020013,230489,8397291520
24020014,268164,8403582976
24020015,427427,8413036544
24020016,420005,8421294080
24020017,417213,8430895104
24020018,436108,8439676928
24020019,117769,8441462784
24020020,518455,8453177344
24020021,330048,8460058624
24020022,294641,8466022400
24020023,299262,8472182784
24020024,484964,8483487744
24020025,241426,8487944192
24020026,234752,8493105152
24020027,246233,8498970624
24020028,198614,8503230464
24020029,720711,8521220096
24020030,253454,8526528512
24020031,251962,8531804160
24020032,418261,8540487680
24020033,412801,8551038976
24020034,405921,8561147904
24020035,365380,8568881152
24020036,268269,8575139840
24020037,236252,8579956736
24020038,650025,8596078592
24020039,328031,8603238400
24020040,414769,8614445056
24020041,336818,8622489600
24020042,370762,8630714368
24020043,97427,8632827904
24020044,486735,8643559424
24020045,926564,8667447296
24020046,223028,8672329728
24020047,206430,8677048320
24020048,81501,8678457344
24020049,470184,8688746496
24020050,792599,8707653632
24020051,329011,8714813440
24020052,427363,8723841024
24020053,622265,8739078144
24020054,231870,8743206912
24020055,314727,8750415872
24020056,285087,8756789248
24020057,539896,8768536576
24020058,315130,8775598080
24020059,391351,8784429056
24020060,290203,8790671360
24020061,596099,8804630528
24020062,301951,8812019712
24020063,459579,8822358016
24020064,288127,8828305408
24020065,448457,8838266880
24020066,107815,8840101888
24020067,801030,8860319744
24020068,203462,8865021952
24020069,221068,8869412864
24020070,571480,8882520064
24020071,619667,8896561152
24020072,335070,8903016448
24020073,66978,8904261632
24020074,253463,8908996608
24020075,679699,8923922432
24020076,286415,8930836480
24020077,400796,8939945984
24020078,146894,8943124480
24020079,580766,8956231680
24020080,488098,8967700480
24020081,346872,8975450112
24020082,50032,8976482304
24020083,596992,8990457856
24020084,163294,8993341440
24020085,169385,8996519936
24020086,796396,9014673408
24020087,697577,9029550080
24020088,270041,9035284480
24020089,305415,9041739776
24020090,657340,9057468416
24020091,357462,9065938944
24020092,416993,9074933760
24020093,431371,9084698624
24020094,491176,9095659520
24020095,627147,9110962176
24020096,280802,9117122560
24020097,325351,9124773888
24020098,413212,9134620672
24020099,258605,9139568640
24020100,461231,9150021632
24020101,653498,9166143488
24020102,472677,9177022464
24020103,338875,9184591872
24020104,303934,9191407616
24020105,339794,9198485504
24020106,638860,9214836736
24020107,394121,9223159808
24020108,367929,9230647296
24020109,582578,9243836416
24020110,238683,9248505856
24020111,209880,9253322752
24020112,388318,9261498368
24020113,881144,9283371008
24020114,374814,9290858496
24020115,458656,9302556672
24020116,429763,9312813056
24020117,237661,9318039552
24020118,489156,9329639424
24020119,375023,9337323520
24020120,421722,9347612672
24020121,230208,9352413184
24020122,238419,9357328384
24020123,121120,9359769600
24020124,604548,9372598272
24020125,353747,9380118528
24020126,334813,9388720128
24020127,338758,9396748288
24020128,258911,9402056704
24020129,398530,9410838528
24020130,344779,9418604544
24020131,345306,9427484672
24020132,317340,9433661440
24020133,527500,9448062976
24020134,433538,9458204672
24020135,456333,9469509632
24020136,254771,9474473984
24020137,499970,9486073856
24020138,400274,9496051712
24020139,432405,9506078720
24020140,400294,9514647552
24020141,315790,9522167808
24020142,488327,9533865984
24020143,328595,9541386240
24020144,83004,9543221248
24020145,649798,9558016000
24020146,345830,9565831168
24020147,386230,9573974016
24020148,97609,9576169472
24020149,670539,9590718464
24020150,365977,9599090688
24020151,309653,9605857280
24020152,208358,9609789440
24020153,514005,9621487616
24020154,443974,9632727040
24020155,337605,9641181184
24020156,438679,9649651712
24020157,414881,9659334656
24020158,248721,9664659456
24020159,397311,9673785344
24020160,472894,9686253568
24020161,538304,9700114432
24020162,512482,9710731264
24020163,348653,9718366208
24020164,405555,9726427136
24020165,286233,9732276224
24020166,345858,9740976128
24020167,149885,9744269312
24020168,324057,9752690688
24020169,662091,9767485440
24020170,425184,9777201152
24020171,328713,9784819712
24020172,312487,9792356352
24020173,306249,9799237632
24020174,486882,9810542592
24020175,372053,9818767360
24020176,390641,9827500032
24020177,380567,9835872256
24020178,354924,9843900416
24020179,291266,9850339328
24020180,363128,9858056192
24020181,41502,9858646016
24020182,720961,9876242432
24020183,310274,9883271168
24020184,340909,9890201600
24020185,520819,9901621248
24020186,307766,9908142080
24020187,214639,9911975936
24020188,542958,9925197824
24020189,252778,9930571776
24020190,332722,9937813504
24020191,221988,9943285760
24020192,464970,9954033664
24020193,453819,9964109824
24020194,274639,9970286592
24020195,454434,9981394944
24020196,404325,9991225344
24020197,324106,9998057472
24020198,741141,10018258944
24020199,318819,10024927232
24020200,207859,10030006272
24020201,103240,10032250880
24020202,979179,10057744384
24020203,578449,10070835200
24020204,310661,10078289920
24020205,327436,10085613568
24020206,518036,10098802688
24020207,262000,10104406016
24020208,289529,10109894656
24020209,369216,10118021120
24020210,392950,10128408576
24020211,730035,10144989184
24020212,57302,10146021376
24020213,587815,10158751744
24020214,355172,10166648832
24020215,364000,10175315968
24020216,412365,10183802880
24020217,178874,10187685888
24020218,457591,10197811200
24020219,458003,10208034816
24020220,316521,10214801408
24020221,621991,10232545280
24020222,304205,10238246912
24020223,779144,10257907712
24020224,233177,10262953984
24020225,311548,10270081024
24020226,352095,10277978112
24020227,275297,10284285952
24020228,273720,10290053120
24020229,412543,10300702720
24020230,388195,10310631424
24020231,667269,10326966272
24020232,371894,10336010240
24020233,300731,10342989824
24020234,274854,10349232128
24020235,280992,10355113984
24020236,371988,10363502592
24020237,256330,10368974848
24020238,683856,10386227200
24020239,290943,10392387584
24020240,242985,10397794304
24020241,317553,10404413440
24020242,371294,10414391296
24020243,487767,10426679296
24020244,470609,10437640192
24020245,416044,10447847424
24020246,500317,10460594176
24020247,91939,10462085120
24020248,500478,10474455040
24020249,530104,10486284288
24020250,654539,10504716288
24020251,615884,10519019520
24020252,529207,10531340288
24020253,152674,10534076416
24020254,588924,10547396608
24020255,444018,10558357504
24020256,298705,10564550656
24020257,264445,10570530816
24020258,42775,10571694080
24020259,743218,10588372992
24020260,78094,10589601792
24020261,754398,10606968832
24020262,443257,10617356288
24020263,416801,10626711552
24020264,494041,10639179776
24020265,244604,10644193280
24020266,427136,10654302208
24020267,269018,10660102144
24020268,362800,10667081728
24020269,237699,10673520640
24020270,697883,10688774144
24020271,172417,10692427776
24020272,166221,10696343552
24020273,119592,10698866688
24020274,681659,10712449024
24020275,332112,10719854592
24020276,323459,10726899712
24020277,143597,10729816064
24020278,368213,10737729536
24020279,234186,10743889920
24020280,434552,10752081920
24020281,384917,10760486912
24020282,335012,10768039936
24020283,352114,10775904256
24020284,362849,10783457280
24020285,215989,10787880960
24020286,149347,10790567936
24020287,582444,10804133888
24020288,445019,10814963712
24020289,248631,10819190784
24020290,359846,10830413824
24020291,531494,10842980352
24020292,292056,10849239040
24020293,454229,10858758144
24020294,303931,10864623616
24020295,256680,10870030336
