block_number,execution_time_us,hint_construction_time_us,hint_write_time_us,rss_bytes
24019447,3941288,29083,23144,156499968
24019448,2728301,29522,15720,244219904
24019449,2899523,30897,15878,337461248
24019450,2471360,26773,14669,414171136
24019451,1732598,24080,14781,469417984
24019452,680597,6857,14477,489668608
24019453,3291354,41881,15359,591396864
24019454,1632482,25839,15004,642023424
24019455,1808693,30068,14686,695631872
24019456,1051889,19218,13893,727711744
24019457,2510172,37482,14216,801505280
24019458,1536099,29214,14221,847609856
24019459,1380563,33227,15843,891109376
24019460,1329019,27907,14950,929169408
24019461,748365,17851,12205,949780480
24019462,1380808,27127,10376,990117888
24019463,1022485,24315,14129,1018626048
24019464,1831509,33012,15276,1072889856
24019465,1213562,33247,14863,1108230144
24019466,1157765,27777,14268,1141735424
24019467,1151648,27234,13922,1174388736
24019468,840432,19886,15016,1197572096
24019469,1255496,28285,13415,1231257600
24019470,658531,14506,14326,1249443840
24019471,2019761,37773,14828,1308884992
24019472,1494394,36225,14435,1349615616
24019473,192987,3180,12609,1355005952
24019474,2029847,26442,14828,1414234112
24019475,803044,21212,14462,1436696576
24019476,1008107,28373,14801,1464352768
24019477,895010,22396,12311,1488273408
24019478,1080325,27821,14256,1517912064
24019479,1123631,34001,15872,1549451264
24019480,754043,22421,13818,1569521664
24019481,1394502,30055,13700,1609252864
24019482,1241889,33606,14558,1644232704
24019483,976458,42311,15119,1671151616
24019484,1791472,32218,14744,1723744256
24019485,738025,21690,14275,1743306752
24019486,1320727,20361,11717,1780219904
24019487,920505,29117,11638,1805369344
24019488,970430,23873,13752,1830354944
24019489,1230726,42229,15919,1865695232
24019490,1053799,29820,14115,1894793216
24019491,738289,24087,12123,1913896960
24019492,724698,22007,13268,1932492800
24019493,716809,15001,13656,1955266560
24019494,1899829,48414,13215,2008285184
24019495,768647,22935,13473,2028978176
24019496,332948,8111,13490,2037678080
24019497,424449,8165,13697,2049540096
24019498,2051087,50078,15181,2106245120
24019499,823470,21145,14309,2128232448
24019500,1138407,32226,13854,2158886912
24019501,929873,31297,14544,2182823936
24019502,594603,18485,14356,2198126592
24019503,745747,26652,13257,2217197568
24019504,1011800,33318,14384,2244296704
24019505,1070729,31959,15956,2271952896
24019506,579192,20393,13047,2286862336
24019507,1048752,32897,12565,2314928128
24019508,874264,35197,14208,2339061760
24019509,1021599,36409,14065,2364538880
24019510,796975,26923,13784,2385494016
24019511,713015,24527,13789,2404384768
24019512,706662,21178,12773,2422194176
24019513,603581,15979,13779,2438938624
24019514,966996,32374,14527,2467184640
24019515,721394,28057,23260,2485829632
24019516,813845,30301,11932,2507522048
24019517,410918,18158,12505,2517155840
24019518,1376779,59847,14571,2552528896
24019519,1014748,37641,11557,2578694144
24019520,741017,27907,11960,2598600704
24019521,1781371,50755,14141,2645753856
24019522,663294,35688,13831,2661138432
24019523,597543,19564,13536,2676457472
24019524,1464476,40251,14284,2714189824
24019525,3722139,26367,13479,2854879232
24019526,211121,8357,12516,2861006848
24019527,532513,20875,13455,2874097664
24019528,1012470,32958,13818,2898526208
24019529,1703969,53165,16249,2942844928
24019530,679302,36875,14600,2958917632
24019531,568146,22239,13817,2973089792
24019532,660524,7527,12052,2990620672
24019533,1072728,25889,11899,3019718656
24019534,935744,28043,12579,3043901440
24019535,654022,19139,12938,3060367360
24019536,738751,16912,12518,3078111232
24019537,588263,22030,13539,3093102592
24019538,437106,18195,14038,3103064064
24019539,985556,27891,13297,3128098816
24019540,162608,2652,11440,3131588608
24019541,1081320,44632,14204,3158474752
24019542,738693,33638,13763,3175219200
24019543,172749,7961,13015,3179675648
24019544,1331294,53335,14127,3214573568
24019545,793152,20380,13726,3233726464
24019546,197892,10128,13399,3239411712
24019547,398271,13276,12690,3248930816
24019548,1236342,55955,14438,3278422016
24019549,149902,4344,12259,3282583552
24019550,1124714,40556,14080,3309043712
24019551,860591,20181,10714,3328229376
24019552,427208,27401,12188,3339812864
24019553,406825,28917,12957,3349020672
24019554,288152,13596,13373,3356409856
24019555,1444634,30048,13876,3389784064
24019556,999021,41311,15670,3417128960
24019557,1002102,12036,12233,3439804416
24019558,556634,34684,15004,3456024576
24019559,305036,9270,12747,3464937472
24019560,570912,26547,14014,3479158784
24019561,672324,28098,13958,3495673856
24019562,918640,29767,14021,3518431232
24019563,457543,19197,16173,3529883648
24019564,644161,27491,13603,3544547328
24019565,834383,33266,14673,3565846528
24019566,393315,18238,14693,3575513088
24019567,223922,8473,14260,3580231680
24019568,171467,6550,13599,3583918080
24019569,1376387,30134,14225,3615801344
24019570,861863,35401,14806,3638460416
24019571,744086,24562,13906,3657744384
24019572,202149,6996,12673,3662774272
24019573,1066798,48025,15626,3688857600
24019574,718098,21576,14185,3705487360
24019575,557471,22451,16076,3720183808
24019576,677874,9919,12974,3735486464
24019577,643721,29112,14998,3751460864
24019578,852388,27924,14155,3772530688
24019579,542361,22217,13723,3786276864
24019580,569513,23308,13937,3800875008
24019581,534515,12439,13386,3812081664
24019582,802343,28945,13149,3832938496
24019583,437276,18601,14850,3844571136
24019584,866129,35962,14746,3865493504
24019585,729736,26050,12291,3883466752
24019586,375840,18263,13855,3893395456
24019587,972873,37361,14589,3916333056
24019588,711301,25791,14500,3939139584
24019589,384310,16220,13952,3948773376
24019590,722032,29168,14362,3966386176
24019591,849588,36878,14718,3986620416
24019592,672296,26965,13809,4004200448
24019593,476498,17447,12000,4015865856
24019594,663241,28077,11696,4030283776
24019595,954360,37011,15190,4054614016
24019596,1173442,27434,14657,4091133952
24019597,527028,23835,12941,4102504448
24019598,475583,17427,13143,4113367040
24019599,862708,26343,12878,4137451520
24019600,437444,18966,15162,4148477952
24019601,834903,29166,14220,4168482816
24019602,715349,40308,15019,4185899008
24019603,542671,25845,14251,4198350848
24019604,940971,14125,12572,4219076608
24019605,499792,21413,12664,4234428416
24019606,418076,19999,12615,4243963904
24019607,146037,12324,13135,4246618112
24019608,702670,39966,13938,4261134336
24019609,1371520,49316,13755,4294770688
24019610,176396,11567,13059,4299227136
24019611,297515,13284,13268,4306108416
24019612,734111,39997,14177,4321476608
24019613,991136,60007,15072,4346478592
24019614,1078115,43984,14659,4371185664
24019615,77453,1253,10899,4373266432
24019616,1023606,55440,15168,4401168384
24019617,344800,25988,14372,4409393152
24019618,962293,49471,14332,4431740928
24019619,751591,41431,14921,4448616448
24019620,649629,35255,12696,4463951872
24019621,455639,23748,14257,4474863616
24019622,334665,17244,13681,4483399680
24019623,852700,29768,14471,4504453120
24019624,556637,22672,13792,4518051840
24019625,667081,22970,13825,4533239808
24019626,341167,19980,13986,4541579264
24019627,574920,25690,14305,4553900032
24019628,593241,24877,14093,4568170496
24019629,505414,31586,13963,4579934208
24019630,359678,15597,14051,4589043712
24019631,500095,24518,13734,4600807424
24019632,811450,30919,13958,4621008896
24019633,779110,28884,13806,4639670272
24019634,430342,26669,14248,4649582592
24019635,384128,26703,13797,4657577984
24019636,1049631,47689,14401,4679778304
24019637,441351,21587,13803,4690886656
24019638,633714,34146,12420,4704468992
24019639,646953,35127,13596,4719706112
24019640,431381,20102,13645,4730257408
24019641,408749,19262,13471,4739350528
24019642,565466,27849,13676,4752867328
24019643,1063745,37493,13943,4778950656
24019644,404128,20029,13797,4788781056
24019645,626170,31050,13845,4802707456
24019646,99404,2577,13685,4805525504
24019647,653071,31602,14086,4819763200
24019648,1153589,51603,14833,4850221056
24019649,527642,30272,14115,4862935040
24019650,189387,10852,13253,4867489792
24019651,822554,35253,13794,4885643264
24019652,482059,28944,13968,4896686080
24019653,935353,36333,13784,4919361536
24019654,751798,35738,13962,4938596352
24019655,2162190,56982,103552,5001461760
24019656,780310,34654,13854,5018959872
24019657,529386,35705,15020,5032099840
24019658,643056,31364,14204,5046435840
24019659,759657,28571,13752,5063573504
24019660,307652,18789,16395,5071355904
24019661,405411,24959,16478,5079252992
24019662,614488,30934,13892,5092524032
24019663,635200,32027,13902,5105876992
24019664,407292,24935,13748,5115838464
24019665,529286,29034,14117,5127487488
24019666,480272,23207,13367,5137416192
24019667,495910,31374,15367,5148180480
24019668,328360,17654,12849,5155618816
24019669,401245,18847,13239,5164351488
24019670,697397,33757,16464,5180391424
24019671,581755,39580,14022,5192728576
24019672,659132,35283,13797,5207703552
24019673,493178,27674,13546,5218975744
24019674,345340,17017,14598,5227495424
24019675,592042,23624,12933,5240733696
24019676,509726,33338,14086,5252005888
24019677,491524,12235,12528,5265276928
24019678,270925,14137,13136,5273206784
24019679,407414,23353,14020,5282168832
24019680,792570,31428,14116,5301534720
24019681,357650,18969,13750,5309186048
24019682,456192,28389,14640,5318311936
24019683,438370,26968,13564,5328109568
24019684,554946,31842,13677,5340332032
24019685,663719,30045,12392,5356257280
24019686,496897,27767,12468,5367087104
24019687,741447,39483,15362,5384224768
24019688,282633,17503,14654,5390745600
24019689,537152,34103,16179,5402017792
24019690,454100,22075,14578,5412847616
24019691,455866,27430,14936,5422530560
24019692,645132,27434,15191,5436997632
24019693,523873,30165,15995,5449105408
24019694,401491,18102,14557,5456838656
24019695,506874,24684,14826,5467291648
24019696,700964,29390,14790,5484199936
24019697,177555,10104,13239,5488689152
24019698,946424,30865,13091,5510742016
24019699,474762,29215,14405,5521358848
24019700,705586,39336,14921,5537775616
24019701,497358,28065,14361,5549342720
24019702,419782,19255,13444,5559336960
24019703,866180,37847,15916,5579800576
24019704,803293,36516,15327,5598478336
24019705,491478,28442,15126,5609734144
24019706,371493,25818,15508,5618237440
24019707,587574,29067,13970,5630590976
24019708,566933,32383,15260,5643878400
24019709,330960,22398,11987,5651283968
24019710,471791,19094,13735,5663342592
24019711,896511,42870,14353,5685428224
24019712,61028,686,9858,5687508992
24019713,28599,144,9721,5688508416
24019714,631884,37827,15348,5705711616
24019715,1171072,47103,12968,5733711872
24019716,358539,22297,13915,5743394816
24019717,1029981,47049,14392,5766610944
24019718,538135,26973,14358,5778800640
24019719,382807,19683,13968,5787189248
24019720,795176,14912,13027,5802590208
24019721,125064,6050,11357,5806243840
24019722,494372,31279,13793,5819400192
24019723,697103,34148,13833,5834276864
24019724,493299,9955,12684,5843943424
24019725,366891,25717,15449,5854117888
24019726,702475,37603,13961,5870567424
24019727,411123,33831,14058,5878775808
24019728,429747,25461,14085,5888458752
24019729,660683,35742,14946,5903679488
24019730,258016,16406,13335,5909364736
24019731,660605,22020,13995,5924814848
24019732,337129,21254,14266,5933023232
24019733,374370,18473,13893,5940477952
24019734,131440,8850,12065,5942919168
24019735,941136,41286,14355,5966413824
24019736,457715,22785,13061,5977210880
24019737,579628,16586,10398,5988958208
24019738,483204,14665,12494,5999509504
24019739,335423,18985,14926,6007881728
24019740,727979,16535,13168,6023643136
24019741,305002,22451,13489,6031392768
24019742,201765,12965,12561,6035783680
24019743,657269,32971,14178,6050775040
24019744,462432,29993,15095,6060867584
24019745,503868,30181,13952,6070796288
24019746,321726,20540,13160,6078136320
24019747,567396,32548,15153,6091243520
24019748,558131,29567,14863,6105202688
24019749,357621,7667,10772,6115196928
24019750,407129,20836,13688,6125993984
24019751,649114,37745,14987,6140887040
24019752,495954,9301,12539,6151061504
24019753,407522,21576,13647,6161989632
24019754,514172,23259,13419,6172508160
24019755,172958,10050,12805,6176325632
24019756,189903,7018,13370,6180814848
24019757,1311644,29291,14293,6211551232
24019758,835805,27023,13651,6231621632
24019759,448934,15432,12571,6240534528
24019760,399466,22880,13808,6250037248
24019761,395935,25842,13439,6258360320
24019762,609803,30188,13885,6271385600
24019763,390705,26400,14827,6280970240
24019764,479814,23589,13228,6291734528
24019765,646216,16556,13523,6306889728
24019766,473357,28543,14538,6319325184
24019767,777253,27467,13699,6338805760
24019768,456059,28271,13236,6348865536
24019769,338554,20347,14424,6356402176
24019770,467042,29088,14468,6367035392
24019771,515883,26359,13923,6379077632
24019772,313077,14144,13904,6386827264
24019773,175063,5708,12528,6391136256
24019774,662927,24782,13678,6405177344
24019775,491743,24906,12735,6416531456
24019776,619496,34769,13962,6431326208
24019777,1346492,40587,13350,6472351744
24019778,616946,35966,17501,6486671360
24019779,1506524,38886,14092,6529794048
24019780,400992,28578,15255,6538985472
24019781,1279379,24173,13330,6579175424
24019782,679523,34505,14831,6598148096
24019783,1499874,28600,13374,6641385472
24019784,339541,20279,14233,6649872384
24019785,1341321,16699,8987,6686998528
24019786,232298,9249,11143,6694322176
24019787,525743,33265,13451,6706954240
24019788,1743435,53877,14570,6754369536
24019789,573427,34613,14333,6769016832
24019790,1353814,49709,15235,6807191552
24019791,290280,18919,12397,6815285248
24019792,356297,22442,12314,6822805504
24019793,1251344,46644,14328,6858735616
24019794,506911,32618,14693,6869745664
24019795,1176068,36056,13902,6904528896
24019796,1108074,38479,14907,6937100288
24019797,640306,28347,14705,6951665664
24019798,1276589,45275,14357,6988857344
24019799,308970,15331,12590,6995755008
24019800,642666,27871,12714,7012483072
24019801,469470,19815,12581,7022559232
24019802,440103,33720,14895,7032111104
24019803,278313,12151,14077,7039467520
24019804,1134388,51459,15545,7064748032
24019805,438763,31270,12433,7075151872
24019806,51332,2031,10521,7076511744
24019807,124800,8268,12013,7079575552
24019808,869151,62230,15643,7099154432
24019809,262964,21968,12665,7104495616
24019810,478214,34067,14546,7114702848
24019811,672484,29142,14678,7128498176
24019812,814425,49428,15107,7145799680
24019813,359879,19602,14799,7153532928
24019814,527940,46441,13985,7165149184
24019815,468483,33528,15455,7174946816
