block_number,wait_time_us,execution_time_us,rss_bytes
24019447,0,13597,23306928128
24019448,0,9840,23309811712
24019449,0,11244,23317135360
24019450,0,11070,23318216704
24019451,0,7673,23319052288
24019452,0,6656,23319674880
24019453,0,18504,23321640960
24019454,0,8222,23322492928
24019455,0,10939,23323607040
24019456,0,3242,23323934720
24019457,0,17046,23325818880
24019458,0,7309,23326572544
24019459,0,9667,23327539200
24019460,0,10434,23328571392
24019461,0,6805,23329325056
24019462,0,10797,23330439168
24019463,0,11511,23331618816
24019464,0,11892,23333224448
24019465,0,8343,23334109184
24019466,0,9567,23335124992
24019467,0,9316,23336075264
24019468,0,9030,23336960000
24019469,0,16542,23338696704
24019470,0,5111,23339220992
24019471,0,12156,23340482560
24019472,0,10103,23341547520
24019473,0,2924,23341826048
24019474,0,12246,23343136768
24019475,0,6491,23343824896
24019476,0,10644,23344922624
24019477,0,8595,23345823744
24019478,0,8477,23346708480
24019479,0,11318,23352475648
24019480,0,8586,23353344000
24019481,0,9520,23354327040
24019482,0,9720,23355260928
24019483,0,11166,23356342272
24019484,0,10736,23357374464
24019485,0,11410,23358488576
24019486,0,14228,23359930368
24019487,0,11051,23360978944
24019488,0,15951,23362469888
24019489,0,9575,23363436544
24019490,0,8930,23364321280
24019491,0,8983,23365206016
24019492,0,11396,23366303744
24019493,0,4317,23366729728
24019494,0,15909,23368351744
24019495,0,7763,23369138176
24019496,0,4413,23369547776
24019497,0,6497,23370121216
24019498,0,12577,23370874880
24019499,0,8720,23371300864
24019500,0,12003,23371923456
24019501,0,14060,23372660736
24019502,0,6201,23372972032
24019503,0,7252,23373398016
24019504,0,13247,23374053376
24019505,0,14196,23374807040
24019506,0,8323,23375249408
24019507,0,10888,23375773696
24019508,0,9029,23376232448
24019509,0,9431,23376674816
24019510,0,7892,23377133568
24019511,0,8601,23377592320
24019512,0,9644,23378083840
24019513,0,7514,23378477056
24019514,0,11237,23379591168
24019515,0,8568,23380049920
24019516,0,7137,23380492288
24019517,0,2019,23380623360
24019518,0,10956,23381295104
24019519,0,4603,23381540864
24019520,0,1591,23381606400
24019521,0,11118,23387029504
24019522,0,5119,23387193344
24019523,0,10073,23388651520
24019524,0,8066,23389536256
24019525,0,14952,23390552064
24019526,0,1878,23390797824
24019527,0,5989,23391371264
24019528,0,8197,23392141312
24019529,0,19547,23394041856
24019530,0,10182,23395008512
24019531,0,6116,23395631104
24019532,0,5374,23396155392
24019533,0,12407,23397302272
24019534,0,9208,23398219776
24019535,0,8406,23398973440
24019536,0,9488,23399776256
24019537,0,5809,23400349696
24019538,0,7050,23400939520
24019539,0,12227,23402004480
24019540,0,3107,23402283008
24019541,0,15316,23403642880
24019542,0,10812,23404625920
24019543,0,3988,23405019136
24019544,0,14416,23406264320
24019545,0,8833,23407050752
24019546,0,2612,23407312896
24019547,0,5995,23407902720
24019548,0,13268,23409049600
24019549,0,2973,23409311744
24019550,0,16359,23410720768
24019551,0,9523,23411556352
24019552,0,8945,23412359168
24019553,0,3412,23412637696
24019554,0,4282,23413047296
24019555,0,16785,23414259712
24019556,0,10519,23414734848
24019557,0,8669,23415144448
24019558,0,9682,23415586816
24019559,0,5233,23416356864
24019560,0,9176,23417618432
24019561,0,8219,23418372096
24019562,0,11206,23419338752
24019563,0,7045,23419994112
24019564,0,10670,23420944384
24019565,0,8453,23421698048
24019566,0,7734,23422386176
24019567,0,5130,23422861312
24019568,0,3539,23423156224
24019569,0,15810,23424499712
24019570,0,10316,23425400832
24019571,0,7005,23426007040
24019572,0,5158,23426482176
24019573,0,13587,23427612672
24019574,0,10462,23428513792
24019575,0,8048,23429152768
24019576,0,8730,23429873664
24019577,0,9797,23430742016
24019578,0,10337,23431610368
24019579,0,6915,23432232960
24019580,0,8128,23433003008
24019581,0,9681,23433854976
24019582,0,8369,23434592256
24019583,0,8007,23435116544
24019584,0,10530,23435591680
24019585,0,10216,23436050432
24019586,0,5612,23436296192
24019587,0,11959,23436820480
24019588,0,10319,23437295616
24019589,0,7319,23437606912
24019590,0,9462,23438000128
24019591,0,9913,23438475264
24019592,0,6458,23438770176
24019593,0,7305,23439114240
24019594,0,10786,23439572992
24019595,0,11572,23440080896
24019596,0,7599,23440424960
24019597,0,9831,23440850944
24019598,0,8803,23441260544
24019599,0,8171,23441588224
24019600,0,8198,23441965056
24019601,0,11297,23442440192
24019602,0,13612,23443046400
24019603,0,11617,23443668992
24019604,0,11234,23444209664
24019605,0,6737,23444570112
24019606,0,6816,23445045248
24019607,0,2955,23445061632
24019608,0,7090,23445159936
24019609,0,12681,23446487040
24019610,0,2071,23446798336
24019611,0,7746,23447257088
24019612,0,7980,23447699456
24019613,0,10367,23448600576
24019614,0,18293,23450173440
24019615,0,2640,23450451968
24019616,0,16556,23451893760
24019617,0,6463,23452499968
24019618,0,10013,23453368320
24019619,0,10731,23454318592
24019620,0,10328,23455252480
24019621,0,8212,23455973376
24019622,0,4346,23456350208
24019623,0,21308,23458168832
24019624,0,8323,23458906112
24019625,0,10338,23459823616
24019626,0,8485,23460593664
24019627,0,9141,23461396480
24019628,0,9479,23462182912
24019629,0,9674,23463034880
24019630,0,6729,23463624704
24019631,0,6248,23464181760
24019632,0,9963,23465066496
24019633,0,9638,23465885696
24019634,0,8990,23466655744
24019635,0,4369,23467048960
24019636,0,15966,23468392448
24019637,0,6900,23469015040
24019638,0,9391,23469490176
24019639,0,7743,23469965312
24019640,0,7460,23470604288
24019641,0,7061,23471226880
24019642,0,6495,23471833088
24019643,0,15251,23473111040
24019644,0,6264,23473684480
24019645,0,8996,23474536448
24019646,0,2566,23474798592
24019647,0,9480,23475601408
24019648,0,15078,23476928512
24019649,0,8083,23477616640
24019650,0,4193,23478042624
24019651,0,13177,23479140352
24019652,0,9229,23479943168
24019653,0,16949,23481335808
24019654,0,6941,23481958400
24019655,0,11039,23482826752
24019656,0,10627,23483613184
24019657,0,8223,23483973632
24019658,0,10331,23484399616
24019659,0,12548,23484956672
24019660,0,5468,23485218816
24019661,0,8820,23485612032
24019662,0,8542,23485988864
24019663,0,11773,23486529536
24019664,0,8344,23486906368
24019665,0,9360,23487332352
24019666,0,7459,23487561728
24019667,0,8453,23487987712
24019668,0,5413,23488266240
24019669,0,7255,23488544768
24019670,0,14348,23489167360
24019671,0,11370,23490281472
24019672,0,7881,23490363392
24019673,0,8768,23490691072
24019674,0,6290,23491543040
24019675,0,9599,23492722688
24019676,0,8110,23492902912
24019677,0,9823,23493689344
24019678,0,7605,23494328320
24019679,0,9704,23495180288
24019680,0,9580,23495983104
24019681,0,7031,23496622080
24019682,0,8309,23497342976
24019683,0,9423,23498178560
24019684,0,9597,23499014144
24019685,0,10342,23499980800
24019686,0,9241,23500816384
24019687,0,10591,23501717504
24019688,0,5724,23502225408
24019689,0,10241,23503093760
24019690,0,8190,23503847424
24019691,0,9145,23504617472
