block_number,raw_size_bytes,compressed_size_bytes,compression_time_us,decompression_time_us
24019447,119788,63982,703.17,54.79
24019448,97580,45129,218.29,45.04
24019449,131708,63174,391.79,36.17
24019450,125940,66013,498.17,38.33
24019451,97716,46473,190.75,27.08
24019452,27684,16114,56.75,10.62
24019453,188628,90759,443.83,81.29
24019454,108916,54009,261.0,29.12
24019455,113396,54221,230.63,30.96
24019456,79444,30843,150.54,23.91
24019457,174608,81371,360.42,47.92
24019458,115792,56386,232.71,31.46
24019459,119716,55485,232.5,31.88
24019460,118896,56410,233.54,32.88
24019461,75440,35027,147.0,20.38
24019462,119020,53448,224.58,32.75
24019463,95484,48250,211.34,25.67
24019464,143256,69221,302.29,38.88
24019465,143380,65008,283.38,40.25
24019466,114996,55616,228.71,30.29
24019467,115136,53456,230.04,33.71
24019468,78036,38381,151.75,21.25
24019469,110848,54914,227.0,29.25
24019470,68560,30632,137.13,19.58
24019471,193128,81036,379.17,56.71
24019472,141228,64738,288.38,39.21
24019473,16252,8647,47.25,5.38
24019474,190296,82072,363.71,54.17
24019475,86396,39398,165.37,23.75
24019476,104000,52700,215.42,27.54
24019477,92680,44970,196.92,26.0
24019478,124936,54813,238.42,34.62
24019479,121572,55304,238.67,34.13
24019480,89156,42224,177.0,24.17
24019481,117680,55304,238.25,32.54
24019482,144908,63056,288.96,41.59
24019483,107004,48381,203.79,29.96
24019484,169240,94383,337.37,44.87
24019485,78288,38570,151.5,20.79
24019486,144932,67606,291.58,40.21
24019487,98864,46807,190.71,27.79
24019488,96688,46976,186.96,26.29
24019489,171672,89421,329.67,45.21
24019490,132152,64491,277.21,35.5
24019491,112460,52361,218.42,31.0
24019492,87588,42044,167.87,23.67
24019493,64560,28107,123.83,19.25
24019494,224488,106288,479.75,60.83
24019495,100260,44866,186.12,27.79
24019496,35040,15944,64.54,13.46
24019497,30892,16876,69.25,15.58
24019498,231792,100426,461.42,66.21
24019499,94024,45631,184.58,26.75
24019500,132680,61515,266.83,36.75
24019501,113020,56011,228.42,30.0
24019502,72884,34530,137.58,19.75
24019503,98944,48187,198.87,26.75
24019504,120464,56252,235.96,32.17
24019505,118544,55206,228.25,31.71
24019506,88916,43785,171.5,23.42
24019507,131012,57834,245.21,35.79
24019508,133328,57455,258.92,38.25
24019509,201668,99519,412.96,54.12
24019510,112980,52617,220.12,30.75
24019511,103932,50770,206.33,31.04
24019512,97228,46026,193.63,28.75
24019513,62764,30253,125.75,17.83
24019514,134724,63846,272.92,36.12
24019515,113464,50581,210.5,30.83
24019516,124436,52635,223.46,33.29
24019517,65572,23896,104.83,18.79
24019518,186712,75990,338.33,52.29
24019519,188084,86695,371.33,50.38
24019520,143496,51084,237.29,40.58
24019521,226432,93414,426.87,62.58
24019522,140792,55128,249.67,39.92
24019523,76848,34694,142.71,21.38
24019524,191160,79802,352.0,53.54
24019525,215536,99696,430.04,58.92
24019526,62412,24505,110.62,18.29
24019527,102900,41613,179.37,29.12
24019528,155604,67357,297.42,43.04
24019529,245748,121208,488.21,82.83
24019530,138076,60978,273.75,38.42
24019531,108468,43925,197.17,31.29
24019532,120824,52965,235.08,33.92
24019533,162036,75269,331.04,43.04
24019534,129684,58696,246.83,35.21
24019535,96388,45572,183.67,26.42
24019536,104224,46552,192.46,28.96
24019537,95732,44470,182.54,27.04
24019538,74216,37266,147.04,20.08
24019539,150908,71281,270.17,40.83
24019540,27096,13085,71.75,14.5
24019541,194264,85905,389.5,54.88
24019542,133724,60901,265.0,37.42
24019543,30336,14668,64.79,9.33
24019544,207912,92875,400.63,56.37
24019545,153404,69052,304.79,42.04
24019546,44080,19659,87.04,14.08
24019547,55072,27133,112.71,15.71
24019548,244324,104686,473.92,67.67
24019549,22820,12886,54.25,7.0
24019550,180204,82289,374.79,50.79
24019551,181292,75482,350.33,51.29
24019552,100068,44155,183.29,27.38
24019553,120548,45648,200.46,33.13
24019554,56760,26564,115.33,16.58
24019555,223204,99010,443.91,61.96
24019556,143744,67704,288.58,38.75
24019557,136020,57779,261.21,37.63
24019558,128956,58378,247.25,34.83
24019559,85088,37799,154.63,23.25
24019560,117780,54714,227.71,31.79
24019561,109172,53285,218.17,29.21
24019562,137652,63636,281.21,37.71
24019563,75256,37646,148.12,20.54
24019564,106100,52567,213.29,28.25
24019565,139212,56881,257.42,39.12
24019566,72628,34422,138.63,20.5
24019567,39228,20071,82.04,10.75
24019568,30664,15459,64.04,8.87
24019569,235788,107568,486.33,63.92
24019570,169492,82680,359.75,48.59
24019571,99552,45702,189.75,27.92
24019572,27684,14710,60.92,7.79
24019573,171072,79969,343.58,47.54
24019574,150208,72188,306.79,41.21
24019575,89096,46826,184.54,23.08
24019576,96432,45242,183.92,26.42
24019577,139220,60662,267.96,39.0
24019578,142876,64985,282.88,39.46
24019579,102152,48666,198.96,28.08
24019580,96212,45442,182.96,26.62
24019581,97556,47106,190.08,26.92
24019582,130728,66390,270.46,33.83
24019583,77276,34256,141.58,21.75
24019584,138464,64569,278.04,37.54
24019585,117064,55616,228.84,31.08
24019586,55560,28387,114.67,15.75
24019587,163440,73922,320.54,44.54
24019588,119688,57242,235.96,32.54
24019589,70172,34369,136.71,19.33
24019590,117380,51391,216.25,31.54
24019591,163460,71346,323.04,44.63
24019592,128600,54820,245.25,35.75
24019593,83124,39014,171.96,23.25
24019594,122252,60389,255.46,33.75
24019595,173492,81740,363.96,49.83
24019596,118972,62884,232.0,32.71
24019597,111592,52989,229.0,30.92
24019598,89500,43054,178.46,24.58
24019599,119520,53268,234.25,34.42
24019600,65744,30804,134.0,19.29
24019601,122276,55497,241.38,34.33
24019602,135616,63469,294.88,38.83
24019603,90864,44454,182.33,24.67
24019604,159468,67360,315.21,45.58
24019605,91216,43745,183.0,25.29
24019606,78436,37049,160.79,22.37
24019607,57512,24078,108.67,17.0
24019608,200600,81910,373.96,55.33
24019609,284100,118118,643.04,95.5
24019610,65000,23791,117.37,21.92
24019611,54724,25547,111.08,16.96
24019612,185088,74785,343.58,51.79
24019613,279532,114681,563.42,84.63
24019614,216312,94629,404.21,63.83
24019615,13836,7119,34.38,5.21
24019616,247240,104270,508.29,73.38
24019617,119136,50879,234.0,41.46
24019618,223388,90329,446.04,65.75
24019619,200828,90264,401.67,57.71
24019620,143236,63110,279.88,39.75
24019621,144840,61574,275.87,42.0
24019622,76752,35468,148.96,28.92
24019623,126368,60669,254.67,45.83
24019624,96444,45890,190.46,26.71
24019625,132160,60570,264.5,36.08
24019626,79192,36935,149.87,21.58
24019627,116732,57800,243.12,32.25
24019628,118656,57457,240.04,32.21
24019629,117740,57052,246.21,31.33
24019630,69880,33583,136.33,19.96
24019631,99004,42543,179.96,28.0
24019632,160232,69309,318.04,47.46
24019633,143168,68060,298.62,39.12
24019634,101696,46349,190.42,27.96
24019635,98876,42167,177.0,27.92
24019636,195192,88110,377.79,53.25
24019637,88232,42543,175.96,23.5
24019638,146392,68030,258.17,40.04
24019639,125424,57684,241.17,34.08
24019640,79132,39196,153.96,21.46
24019641,82748,40631,160.58,22.21
24019642,113384,54494,224.17,30.42
24019643,182272,89150,388.42,53.5
24019644,85072,40108,162.5,23.04
24019645,146536,67596,292.71,40.62
24019646,17212,9179,41.21,5.46
24019647,141240,64550,277.46,38.33
24019648,258908,118377,501.96,70.08
24019649,141580,58996,271.25,40.29
24019650,45708,21231,92.21,14.12
24019651,171348,78127,349.0,47.62
24019652,93792,42141,174.42,26.67
24019653,157680,73339,311.21,42.38
24019654,162024,68513,304.54,44.75
24019655,358540,180641,776.79,104.0
24019656,170116,73257,335.08,48.92
24019657,118860,51398,229.42,33.29
24019658,144544,67629,266.46,40.42
24019659,133048,58252,256.12,36.87
24019660,72920,33499,138.42,20.83
24019661,93140,40460,180.17,26.54
24019662,136700,64374,276.75,37.37
24019663,139204,65099,281.79,38.21
24019664,102808,46507,192.75,28.87
24019665,134788,61594,269.54,38.21
24019666,93580,44626,181.38,26.38
24019667,121220,59583,246.92,32.42
24019668,74120,34581,139.83,20.42
24019669,80032,37947,150.54,21.87
24019670,132804,64631,273.79,36.21
24019671,173068,74019,330.67,50.33
24019672,153556,69417,300.29,41.92
24019673,108908,51565,221.67,30.83
24019674,64312,29033,122.79,18.13
24019675,115012,53139,248.58,35.33
24019676,128232,55477,257.54,37.83
24019677,176804,73242,376.5,53.46
24019678,70952,34124,146.75,21.21
24019679,101880,47944,207.38,29.71
24019680,161756,84041,367.87,44.46
24019681,89424,42005,177.62,25.21
24019682,123432,55626,263.5,35.54
24019683,109288,51976,228.04,29.5
24019684,131360,61095,283.0,36.08
24019685,121804,59188,252.96,34.0
24019686,128052,58519,261.0,35.58
24019687,183184,88901,361.67,51.29
24019688,76716,35217,150.04,22.62
24019689,117320,54173,229.58,31.71
24019690,94952,47160,194.79,27.04
24019691,100412,45647,194.04,28.08
24019692,130964,58966,255.96,37.08
24019693,110928,53239,222.38,31.08
24019694,90888,41517,171.92,25.67
24019695,100260,48453,199.08,28.13
24019696,135980,63720,281.79,38.46
24019697,47316,21370,93.08,14.92
24019698,139604,68441,296.42,38.71
24019699,114360,53007,232.42,31.66
24019700,136236,67215,255.83,36.41
24019701,110012,50360,211.79,30.46
24019702,76252,35771,162.67,21.42
24019703,138892,68353,310.92,37.37
24019704,174276,79181,342.75,47.88
24019705,137860,64297,283.58,37.96
24019706,95932,43570,179.04,26.87
24019707,121788,57151,240.92,32.46
24019708,123220,62047,211.04,32.42
24019709,98616,45493,186.33,27.62
24019710,84008,39490,157.71,22.62
24019711,205932,93418,403.58,58.13
24019712,13636,7027,34.92,5.08
24019713,3708,1492,13.17,2.42
24019714,151628,65523,294.12,42.75
24019715,213700,99889,418.92,67.92
24019716,92344,42941,191.21,29.13
24019717,179660,85955,375.46,49.0
24019718,107912,49975,205.38,29.13
24019719,84908,39235,158.58,22.96
24019720,155524,70060,303.75,42.54
24019721,73684,32816,136.33,20.75
24019722,136204,69136,293.66,36.54
24019723,164120,77732,337.08,44.46
24019724,101792,49713,201.54,28.0
24019725,96148,43614,180.87,27.29
24019726,160576,65480,307.21,46.12
24019727,123276,54924,234.25,33.75
24019728,116532,55330,227.33,31.25
24019729,140048,68214,291.63,37.5
24019730,77376,37816,150.25,20.54
24019731,175008,84595,359.96,48.42
24019732,92724,43672,176.08,30.91
24019733,86456,42480,168.13,23.21
24019734,61016,26480,114.46,17.67
24019735,192408,87641,388.42,53.62
24019736,106064,52555,214.04,28.67
24019737,147592,67739,299.04,41.08
24019738,117412,56466,234.79,32.04
24019739,80808,38858,155.33,21.96
24019740,117000,54381,233.5,32.67
24019741,94588,43546,186.46,27.54
24019742,49136,23813,102.67,15.0
24019743,149016,70728,317.17,41.04
24019744,120816,54643,237.71,34.0
24019745,137068,61240,281.96,39.54
24019746,104796,43654,193.09,30.46
24019747,120400,54257,242.79,33.5
24019748,140600,64425,294.88,40.96
24019749,104568,50063,212.71,29.71
24019750,92628,45972,188.46,24.75
24019751,158696,68905,320.21,46.92
24019752,97472,47780,199.67,27.88
24019753,103052,49322,215.54,29.08
24019754,121724,53464,230.96,33.67
24019755,48516,22410,95.75,14.71
24019756,33860,16932,70.58,9.63
24019757,199328,94112,411.5,55.46
24019758,198276,97913,428.5,53.38
24019759,133516,62145,271.67,38.54
24019760,119636,52239,226.92,33.62
24019761,117116,51700,222.04,32.59
24019762,146988,65977,305.67,41.33
24019763,123420,62443,238.62,34.71
24019764,111828,49729,216.46,32.33
24019765,127840,59065,251.67,35.08
24019766,140596,60673,282.33,40.29
24019767,138204,58207,259.92,38.33
24019768,129016,54720,237.96,35.5
24019769,90548,42068,175.37,26.67
24019770,117496,54050,229.63,33.54
24019771,158504,63907,303.96,46.83
24019772,77664,33293,140.5,22.63
24019773,33648,15989,68.96,10.17
24019774,143164,67360,336.83,56.08
24019775,126136,57229,252.75,36.79
24019776,137824,60307,285.21,42.17
24019777,171280,91558,443.04,45.62
24019778,129388,60482,272.5,37.29
24019779,202656,111050,406.33,51.83
24019780,103404,47234,197.42,28.79
24019781,202688,108000,391.87,51.96
24019782,147144,68976,292.63,39.79
24019783,224808,117005,416.54,57.63
24019784,105860,45289,192.42,30.25
24019785,173748,97447,330.33,43.04
24019786,92284,42096,170.92,24.63
24019787,147184,62187,276.42,40.75
24019788,308640,145049,602.38,85.5
24019789,143496,68033,300.38,39.25
24019790,250476,125999,512.79,64.13
24019791,113064,50503,214.5,31.0
24019792,95216,47175,189.92,26.12
24019793,180956,96968,337.5,46.12
24019794,143132,73651,306.83,38.0
24019795,160216,89880,316.71,39.83
24019796,149808,83733,294.04,37.17
24019797,131568,63327,268.29,34.54
24019798,174436,96278,357.63,45.04
24019799,70480,33641,136.13,19.62
24019800,113608,55372,226.29,30.04
24019801,94724,41623,171.29,26.87
24019802,122928,56501,237.54,33.87
24019803,45408,25576,83.54,11.13
24019804,299056,145647,638.25,80.42
24019805,111324,54346,189.71,29.67
24019806,39564,16153,71.71,11.04
24019807,95680,37206,158.87,26.58
24019808,239996,104206,458.38,64.08
24019809,107524,44995,188.0,29.54
24019810,169988,67829,308.87,48.25
24019811,182936,82465,356.33,50.33
24019812,218316,97253,435.96,61.0
24019813,95256,41352,180.67,28.63
24019814,142736,59665,279.42,41.83
24019815,128684,58165,256.79,36.0
24019816,110160,47037,205.67,31.0
24019817,265648,138530,528.54,73.21
24019818,28008,13933,60.79,8.46
24019819,190196,83976,379.12,51.46
24019820,33488,17070,59.08,9.13
24019821,86636,35592,149.96,23.71
24019822,235164,103088,445.25,63.58
24019823,144076,64476,283.46,40.08
24019824,118900,49365,213.21,32.92
24019825,155736,68526,297.5,42.13
24019826,201968,82665,363.25,55.12
24019827,176756,76271,346.17,49.62
24019828,259856,111680,479.96,69.58
24019829,109884,44940,191.25,30.21
24019830,130952,45486,208.83,36.54
24019831,156380,62453,299.17,44.71
24019832,5004,2334,17.13,2.75
24019833,32872,13374,68.46,9.88
24019834,109172,48816,206.63,29.83
24019835,194252,87714,391.58,52.5
24019836,140548,55347,253.38,40.0
24019837,266244,118654,538.0,72.75
24019838,33876,17812,72.42,9.5
24019839,256456,111902,508.63,69.75
24019840,17796,8978,41.21,6.0
24019841,158008,68560,312.04,44.08
24019842,209656,104204,432.08,55.25
24019843,190392,89701,378.04,51.75
24019844,133904,58707,257.91,37.46
24019845,145892,65155,312.21,44.67
24019846,144780,64301,314.62,44.87
24019847,145036,77589,302.04,40.92
24019848,109944,51514,237.08,33.08
24019849,83716,39404,173.67,24.17
24019850,148140,68496,319.92,44.21
24019851,74236,35200,148.67,21.29
24019852,168096,73548,346.96,50.33
24019853,126448,53946,244.33,36.54
24019854,163024,75489,325.75,43.21
24019855,161276,74004,317.63,44.21
24019856,83288,38645,156.17,22.17
24019857,151548,68762,299.71,41.46
24019858,109240,55525,226.0,28.42
24019859,201628,85984,379.75,64.71
24019860,94920,39465,168.08,27.67
24019861,148356,65024,285.75,40.79
24019862,86388,39059,159.79,23.96
24019863,50428,29379,112.71,12.83
24019864,193704,83175,388.04,55.25
24019865,158580,71928,320.62,42.58
24019866,128152,57012,254.21,37.33
24019867,115144,52809,222.96,31.63
24019868,37456,19030,78.04,10.21
24019869,167668,82126,347.75,43.5
24019870,22980,9018,43.79,7.58
24019871,84452,46139,154.42,21.63
24019872,151680,61658,282.79,44.54
24019873,182128,86157,370.25,49.42
24019874,117324,53094,229.63,32.58
24019875,128216,57779,242.29,34.08
24019876,24268,12901,54.0,6.96
24019877,238288,123925,501.96,61.38
24019878,125008,60390,249.17,33.29
24019879,85704,39224,161.75,22.71
24019880,28472,13821,58.96,8.21
24019881,190200,88531,396.33,52.75
24019882,115712,53424,225.21,32.0
24019883,173984,79294,341.83,48.17
24019884,77356,37556,149.17,20.63
24019885,21280,10526,46.17,6.42
24019886,190004,90433,400.0,51.08
24019887,117564,58668,240.42,30.29
24019888,110672,50241,209.83,33.75
24019889,80812,38962,155.58,21.75
24019890,135756,60596,268.0,37.75
24019891,43584,18793,82.21,12.04
24019892,209492,88557,407.12,59.75
24019893,88932,41707,168.42,24.04
24019894,159496,76879,330.17,41.75
24019895,224444,114376,415.54,59.08
24019896,103676,48239,200.17,28.88
24019897,21928,11414,49.83,6.42
24019898,210208,94754,406.0,58.75
24019899,101352,48249,196.21,27.42
24019900,119224,51532,219.71,32.42
24019901,165768,69146,310.75,47.79
24019902,80044,32497,137.37,22.38
24019903,148056,73544,264.12,40.04
24019904,97792,47546,192.5,26.62
24019905,16628,8216,37.58,5.42
24019906,119072,51509,221.17,33.08
24019907,128248,61980,256.92,35.54
24019908,110012,61158,206.21,27.62
24019909,149352,71966,312.33,41.17
24019910,116736,54106,225.38,31.66
24019911,72440,32868,137.63,20.08
24019912,74072,37851,147.42,19.71
24019913,85364,42649,167.79,22.58
24019914,78880,38404,151.42,20.96
24019915,356440,94774,524.54,119.88
24019916,99884,50270,206.21,28.25
24019917,165432,76436,343.13,45.46
24019918,113136,55201,225.62,30.0
24019919,124860,60050,244.96,33.08
24019920,80344,37572,150.96,21.71
24019921,93068,43491,176.0,26.21
24019922,94556,43258,175.75,26.46
24019923,110732,50132,186.12,32.13
24019924,92888,47078,193.37,23.96
24019925,108292,50181,205.96,29.08
24019926,128556,57654,243.96,34.79
24019927,151080,65618,313.71,42.42
24019928,113040,49974,230.21,32.21
24019929,132492,61392,273.25,36.79
24019930,100204,47505,200.58,28.63
24019931,106520,47594,219.13,30.58
24019932,88416,40548,169.88,24.58
24019933,199656,93999,448.58,54.96
24019934,125152,53344,241.42,35.96
24019935,154952,65818,300.5,43.5
24019936,102996,42013,179.33,28.96
24019937,208112,91684,433.67,67.5
24019938,56952,28943,127.33,17.42
24019939,166048,74789,362.79,49.54
24019940,172208,70847,338.87,60.75
24019941,181184,86188,388.79,50.46
24019942,59944,27939,124.54,17.83
24019943,167052,73417,341.17,48.67
24019944,143812,67869,308.83,40.88
24019945,130764,59087,267.08,38.12
24019946,77640,37404,149.04,20.87
24019947,150472,69877,303.21,41.58
24019948,77048,35600,143.75,20.96
24019949,116160,55029,225.58,31.08
24019950,113444,53631,222.08,30.33
24019951,142744,74967,271.71,36.63
24019952,136436,63490,274.71,38.04
24019953,172972,79333,345.42,49.46
24019954,133644,60156,264.96,37.46
24019955,127020,63123,260.71,33.5
24019956,61796,31096,125.92,16.92
24019957,165628,81064,343.29,43.5
24019958,133904,57615,258.04,38.63
24019959,73904,26497,121.71,21.96
24019960,202540,90116,403.21,55.37
24019961,151556,66022,294.46,41.5
24019962,234656,105243,450.33,64.04
24019963,134964,62124,266.04,36.46
24019964,78156,30293,133.79,22.54
24019965,169248,63388,301.33,48.75
24019966,41688,20628,85.29,11.46
24019967,124956,52234,225.04,33.96
24019968,191308,72208,330.5,53.46
24019969,88792,37742,157.54,24.33
24019970,62376,31067,126.0,17.17
24019971,217164,95028,406.25,59.46
24019972,252212,111818,478.96,68.0
24019973,215900,91038,398.59,59.58
24019974,202696,91324,346.54,55.58
24019975,167468,81120,341.25,43.38
24019976,149320,67396,293.29,41.12
24019977,83828,37656,156.83,23.21
24019978,119960,54530,227.92,31.96
24019979,72896,37034,144.12,19.38
24019980,64104,27528,117.5,19.0
24019981,73544,37109,148.04,20.54
24019982,165320,80172,358.46,45.88
24019983,104512,52370,220.21,29.46
24019984,203776,104575,387.67,53.63
24019985,76840,37912,155.67,21.21
24019986,98428,45279,192.54,28.12
24019987,76620,36425,150.37,21.21
24019988,209308,99326,395.75,58.5
24019989,110096,53081,223.71,30.5
24019990,123284,60135,253.63,34.29
24019991,61652,26910,119.88,18.46
24019992,29472,13807,62.29,9.0
24019993,208252,105798,456.88,60.08
24019994,118932,59155,213.38,32.13
24019995,94420,42281,177.37,26.92
24019996,30312,14530,61.92,8.71
24019997,87796,39660,162.58,24.46
24019998,91044,44772,180.21,23.96
24019999,166916,79794,344.58,45.17
24020000,106444,52585,178.83,29.46
24020001,85604,40051,164.42,23.04
24020002,147192,65163,287.33,41.33
24020003,150852,68553,298.92,41.83
24020004,95428,44077,184.21,28.0
24020005,140976,65550,302.21,39.96
24020006,95736,47305,176.08,27.13
24020007,142332,63746,294.29,40.79
24020008,86796,40575,166.71,24.21
24020009,117508,54026,229.21,33.42
24020010,219184,111831,402.04,60.5
24020011,121276,53056,225.0,33.29
24020012,165984,87054,333.0,45.96
24020013,76388,38557,157.13,20.67
24020014,125480,52381,234.17,35.42
24020015,131900,57280,263.83,37.75
24020016,193008,84447,375.54,54.21
24020017,177560,92062,362.17,47.92
24020018,150332,67254,294.04,41.46
24020019,67320,27410,118.33,19.33
24020020,138240,65976,280.88,37.71
24020021,148876,68928,292.87,40.04
24020022,108864,54266,223.0,29.67
24020023,116364,52442,221.17,31.46
24020024,143220,65389,285.25,45.58
24020025,78968,37333,149.79,21.13
24020026,83028,42424,165.71,21.67
24020027,50868,25775,105.12,14.67
24020028,59696,28972,119.13,16.71
24020029,253960,113189,529.25,75.92
24020030,108004,46054,206.42,32.33
24020031,95820,42667,189.42,29.46
24020032,173120,77009,363.75,53.38
24020033,113784,51889,230.46,32.71
24020034,111488,50531,228.67,32.83
24020035,165428,92846,337.71,41.62
24020036,74124,34781,140.29,20.5
24020037,194140,101580,372.87,50.67
24020038,308464,98653,559.08,98.67
24020039,172332,97465,343.29,42.96
24020040,82296,42779,165.58,21.04
24020041,108652,57324,233.42,27.87
24020042,104508,52356,212.46,27.42
24020043,28908,14063,60.17,8.5
24020044,50468,26335,105.08,14.13
24020045,226416,107830,497.67,62.21
24020046,79064,33059,140.71,22.96
24020047,74080,34156,137.12,20.42
24020048,32052,14910,64.29,9.46
24020049,148332,66348,288.37,40.21
24020050,270284,116353,518.21,75.62
24020051,90496,44508,175.87,23.37
24020052,149608,70862,301.88,40.96
24020053,191224,98533,422.79,50.04
24020054,88016,39698,161.12,23.46
24020055,78064,38743,152.67,20.71
24020056,102196,44799,187.54,29.29
24020057,170820,74218,330.87,49.29
24020058,113256,53338,218.79,30.12
24020059,140028,78565,262.42,35.29
24020060,85204,40146,161.42,22.79
24020061,172732,81628,358.96,49.25
24020062,168480,93696,358.5,2349.71
24020063,137020,64542,280.37,92.13
24020064,100940,45523,187.04,27.46
24020065,128376,60057,254.96,34.04
24020066,22632,11032,48.71,7.08
24020067,253244,110296,479.83,70.83
24020068,74460,32194,134.33,21.33
24020069,102516,44314,184.96,28.83
24020070,177252,80552,346.58,48.96
24020071,193944,96423,372.87,52.42
24020072,107492,48049,208.29,30.5
24020073,18492,9679,44.17,5.96
24020074,76304,35227,148.75,21.83
24020075,205644,94445,420.25,57.38
24020076,75048,37191,152.92,20.83
24020077,130660,62278,266.04,37.04
24020078,27084,14537,64.83,8.29
24020079,171404,76488,356.46,56.79
24020080,184696,85790,371.79,51.04
24020081,127044,54215,236.58,36.25
24020082,14200,7086,32.38,5.08
24020083,143540,65983,296.96,41.46
24020084,67744,31542,128.83,19.04
24020085,82900,38374,155.96,23.37
24020086,236728,106764,486.29,68.37
24020087,225744,122332,491.08,58.0
24020088,57976,29109,123.83,16.0
24020089,100744,44349,189.5,30.12
24020090,149612,71133,307.79,42.67
24020091,89024,39260,167.54,24.96
24020092,103488,50646,211.88,28.79
24020093,104088,50885,213.04,31.08
24020094,135716,62153,269.79,37.79
24020095,135208,63995,280.42,36.37
24020096,84044,37595,156.13,23.75
24020097,118408,67810,212.75,29.54
24020098,83792,40843,161.08,22.5
24020099,91028,41133,166.16,24.25
24020100,176880,81021,357.54,50.17
24020101,157964,77103,320.83,41.29
24020102,137268,60841,267.42,38.21
24020103,97368,47070,189.33,26.75
24020104,134608,71553,241.83,35.0
24020105,98576,46133,188.42,27.04
24020106,169692,77489,331.67,46.38
24020107,136108,66087,281.21,37.21
24020108,170160,78262,297.42,45.54
24020109,148040,71779,301.79,38.88
24020110,95076,41917,175.0,26.75
24020111,83228,33067,142.75,23.33
24020112,113644,58073,236.87,29.42
24020113,193484,92195,348.83,52.13
24020114,113896,53589,275.12,57.0
24020115,91068,47149,207.37,26.42
24020116,97660,49466,211.92,27.96
24020117,71464,36153,148.0,20.38
24020118,164848,79020,337.21,46.04
24020119,92412,42793,178.08,73.71
24020120,105148,51068,212.88,31.92
24020121,61228,27961,119.25,17.96
24020122,78732,34286,144.79,22.17
24020123,35640,18066,74.67,10.0
24020124,208956,87404,413.42,78.83
24020125,152780,75208,270.83,41.21
24020126,95224,46578,190.42,26.38
24020127,103800,48174,198.46,28.25
24020128,87232,37291,155.46,67.08
24020129,113172,54044,223.71,33.71
24020130,103324,52281,210.46,28.79
24020131,77936,38853,152.79,20.87
24020132,91660,43391,174.54,24.29
24020133,103544,48437,206.54,28.71
24020134,125876,61147,252.0,33.75
24020135,130604,60141,250.59,34.88
24020136,97528,45806,184.42,73.25
24020137,170940,93829,331.25,48.46
24020138,106308,46105,193.92,30.33
24020139,105220,50253,206.67,29.08
24020140,136920,66810,299.0,43.75
24020141,99816,48145,195.21,27.37
24020142,118696,59940,241.42,30.37
24020143,94240,43910,177.12,25.96
24020144,21528,11121,93.92,6.83
24020145,253356,125836,527.33,75.79
24020146,95872,48897,202.67,26.12
24020147,108964,56007,195.21,33.75
24020148,30920,16147,67.04,8.79
24020149,154884,81207,287.71,48.33
24020150,125820,56087,239.33,34.25
24020151,94364,43508,178.17,69.87
24020152,86016,41770,163.42,23.17
24020153,160696,68440,320.37,51.12
24020154,95460,45097,182.04,26.67
24020155,72148,35426,139.58,19.42
24020156,138808,65115,280.62,38.92
24020157,131644,58631,258.04,37.21
24020158,66096,31784,132.46,19.21
24020159,120036,56331,234.29,33.29
24020160,123136,59540,242.25,32.79
24020161,121868,57767,237.79,32.33
24020162,147368,73608,314.0,39.37
24020163,74464,39660,150.88,61.25
24020164,133908,63582,273.79,40.75
24020165,120752,61797,251.21,31.5
24020166,108636,50805,209.17,30.46
24020167,33952,19119,64.25,8.92
24020168,57820,32430,107.96,15.58
24020169,199092,92063,395.71,60.21
24020170,107764,57766,196.67,27.67
24020171,137432,74224,302.17,34.96
24020172,104540,51470,207.46,74.25
24020173,89300,41709,167.13,24.04
24020174,169856,71068,321.46,49.42
24020175,141008,78444,267.25,36.0
24020176,119732,58111,266.75,31.0
24020177,139512,66150,281.29,38.17
24020178,135148,58708,261.33,40.08
24020179,123808,63287,224.62,32.13
24020180,93552,45189,181.04,31.5
24020181,58616,19909,95.62,17.79
24020182,209836,101435,419.58,61.71
24020183,82616,37292,154.54,23.25
24020184,111836,54991,225.96,30.08
24020185,150936,76114,286.67,40.5
24020186,129432,61712,252.13,35.29
24020187,82120,36465,149.58,22.83
24020188,164300,68839,305.79,46.96
24020189,67176,35097,140.29,18.25
24020190,98072,49499,203.67,26.33
24020191,36588,20715,81.13,9.96
24020192,127232,61920,253.41,37.46
24020193,140816,69937,250.62,43.29
24020194,94932,45303,183.67,25.92
24020195,134776,60529,269.71,39.83
24020196,93716,46102,184.54,25.5
24020197,112552,50730,209.87,32.33
24020198,180964,84523,396.62,58.92
24020199,109452,56276,202.54,29.21
24020200,46364,25696,103.29,12.17
24020201,28144,13957,61.21,8.5
24020202,250340,107863,492.17,83.42
24020203,201996,95992,436.13,55.88
24020204,158072,83108,354.83,95.63
24020205,126536,58938,257.33,35.29
24020206,112112,58924,245.37,36.63
24020207,79524,41865,145.92,21.25
24020208,103092,47447,266.33,35.04
24020209,183948,97596,382.46,52.58
24020210,80304,38950,157.87,21.63
24020211,183652,91513,393.75,49.62
24020212,15584,8049,35.38,48.5
24020213,151876,80232,295.25,46.5
24020214,110108,53413,228.5,30.04
24020215,105148,52008,187.67,30.29
24020216,156216,70540,319.25,44.38
24020217,55204,27020,114.71,16.79
24020218,135060,63035,276.17,38.04
24020219,155748,80866,300.13,40.75
24020220,89896,43833,185.83,24.58
24020221,53720,25861,109.33,15.33
