block_number,raw_size_bytes,compressed_size_bytes,compression_time_us,decompression_time_us
24061759,141732,63126,274.0,39.08
24061760,75496,37759,147.04,20.08
24061761,149608,59143,280.33,43.87
24061762,127928,50708,223.17,36.75
24061763,176224,105133,347.29,43.75
24061764,107128,44262,200.12,32.67
24061765,75388,36593,157.25,21.08
24061766,115956,49437,209.29,32.04
24061767,78264,38212,153.04,20.87
24061768,117284,48583,207.25,34.84
24061769,29472,14474,62.54,9.04
24061770,200816,83840,388.87,56.96
24061771,118304,62592,201.96,30.54
24061772,59520,28752,117.29,16.58
24061773,131276,53196,241.67,36.71
24061774,114464,55975,231.08,29.92
24061775,212368,108147,382.87,55.33
24061776,74672,37958,147.92,19.79
24061777,72028,35496,138.17,19.17
24061778,96592,47628,202.33,26.42
24061779,74536,37529,146.08,20.21
24061780,77872,42047,137.75,20.12
24061781,116216,52744,221.75,32.87
24061782,154312,69213,300.87,42.25
24061783,112192,53727,219.17,30.04
24061784,152632,68946,260.5,41.04
24061785,155740,85897,300.58,39.87
24061786,61016,31080,107.92,16.62
24061787,107344,41760,184.0,30.42
24061788,114524,55775,268.96,35.42
24061789,130696,53543,262.21,39.67
24061790,65948,34457,147.5,19.5
24061791,120548,50460,231.54,36.04
24061792,95512,46218,199.54,28.0
24061793,136556,54691,279.42,41.5
24061794,18084,8308,43.5,6.96
24061795,156712,75998,311.5,45.83
24061796,142152,57135,276.92,43.46
24061797,88692,40147,176.04,26.13
24061798,193288,97362,374.58,54.54
24061799,61148,28259,129.58,18.84
24061800,132504,52723,261.42,39.75
24061801,17344,9048,42.62,6.0
24061802,199316,84470,391.5,56.96
24061803,70040,35130,139.75,19.33
24061804,158972,68556,445.83,45.0
24061805,86340,38384,158.71,24.08
24061806,178544,81524,346.71,57.29
24061807,74624,35191,140.88,20.29
24061808,186900,109513,379.67,47.37
24061809,134936,51112,234.13,39.04
24061810,96124,49349,257.29,24.12
24061811,124316,51897,224.37,34.38
24061812,85488,41146,162.71,22.37
24061813,128532,61258,251.54,34.46
24061814,106188,55132,190.46,27.38
24061815,167228,93763,319.5,41.75
24061816,87384,46025,154.29,79.88
24061817,130312,68028,234.21,32.21
24061818,97292,48764,197.54,26.58
24061819,108532,57888,197.54,27.54
24061820,63332,32383,130.37,32.29
24061821,12364,6788,34.42,4.54
24061822,257180,138644,540.25,74.08
24061823,20244,10031,46.5,6.21
24061824,153128,72508,310.71,41.54
24061825,108244,52146,219.04,31.83
24061826,44704,19935,85.33,12.08
24061827,145804,73828,279.5,39.29
24061828,76004,35215,145.33,20.96
24061829,168576,96407,322.12,41.88
24061830,77756,37489,155.33,20.83
24061831,98548,48218,195.71,26.5
24061832,167128,79922,338.67,51.0
24061833,123048,46966,214.08,35.04
24061834,94864,45085,184.33,26.17
24061835,115152,55331,230.38,30.79
24061836,137496,59319,264.33,39.04
24061837,101792,51025,212.58,27.25
24061838,82712,40944,162.67,22.58
24061839,111208,49066,210.04,31.25
24061840,129168,57487,244.67,35.62
24061841,159556,71136,288.17,43.42
24061842,75676,37981,148.42,94.71
24061843,188396,102557,357.54,53.83
24061844,116860,53137,227.42,32.13
24061845,80056,39213,155.04,21.0
24061846,80904,44947,145.67,20.5
24061847,98212,46913,190.54,27.08
24061848,110440,59007,199.87,27.87
24061849,92544,41403,170.42,26.08
24061850,124440,58767,244.13,33.96
24061851,94496,51904,173.08,23.46
24061852,14660,8159,36.08,5.37
24061853,94512,45974,179.5,23.75
24061854,26428,14464,51.29,8.25
24061855,193412,77475,353.96,57.29
24061856,175392,86629,360.33,46.54
24061857,105592,49536,204.16,29.87
24061858,99904,54109,215.04,26.12
24061859,45684,23572,93.54,11.96
24061860,125924,61446,255.08,32.88
24061861,155584,67380,307.12,44.63
24061862,174932,95565,340.17,43.92
24061863,107984,55749,224.67,94.71
24061864,84788,41761,164.21,22.08
24061865,119624,59820,242.33,32.17
24061866,100708,49237,203.33,27.96
24061867,101928,52482,218.0,27.38
24061868,89884,42968,178.54,25.13
24061869,211936,115402,432.0,56.67
24061870,76452,36705,152.21,21.38
24061871,76204,42567,145.5,20.08
24061872,84128,44002,152.41,22.38
24061873,122568,53084,236.0,36.29
24061874,119232,63058,211.71,31.21
24061875,99440,49097,205.21,27.54
24061876,182748,96615,362.92,49.37
24061877,92480,42056,176.67,110.04
24061878,53068,27656,111.54,15.0
24061879,150876,46930,235.04,49.83
24061880,102060,52045,210.62,27.58
24061881,94880,44213,158.33,26.92
24061882,102064,48998,199.25,28.29
24061883,166340,97404,330.13,47.08
24061884,78216,43487,141.96,19.92
24061885,116948,53156,222.46,32.21
24061886,77700,39429,146.5,21.96
24061887,149172,46619,214.75,49.08
24061888,124384,63591,260.0,32.79
24061889,203072,110611,397.04,51.54
24061890,87588,41211,168.58,87.87
24061891,103536,53499,177.67,26.62
24061892,82332,38644,153.62,21.38
24061893,192300,77381,345.29,54.67
24061894,22396,11349,48.54,6.71
24061895,164988,83596,359.92,42.46
24061896,120572,56200,232.42,31.79
24061897,114000,58019,236.0,30.71
24061898,66444,32457,136.08,18.21
24061899,126836,61872,219.62,34.37
24061900,57828,29079,117.21,16.25
24061901,82480,38327,154.17,22.92
24061902,157492,63897,295.12,46.25
24061903,76104,37510,147.71,20.46
24061904,93112,42212,175.04,27.08
24061905,118028,58427,205.13,32.83
24061906,175600,96784,447.0,57.04
24061907,62088,29798,164.75,21.42
24061908,92648,48185,209.67,25.25
24061909,205180,68577,382.04,86.58
24061910,76352,36533,150.12,22.58
24061911,99232,49626,213.96,38.63
24061912,126652,58730,252.96,39.91
24061913,91280,40661,173.54,27.33
24061914,76612,36948,152.08,23.37
24061915,191160,112158,395.04,72.17
24061916,90324,43548,202.83,39.62
24061917,16520,8788,47.04,6.21
24061918,178072,84277,424.79,75.33
24061919,75272,37244,194.67,34.5
24061920,103348,51545,263.46,32.42
24061921,114672,50645,234.37,35.17
