block_number,wait_time_us,execution_time_us,rss_bytes
24019447,0,17355,23305109504
24019448,0,12392,23309615104
24019449,0,12819,23315709952
24019450,0,11727,23319298048
24019451,0,7606,23321460736
24019452,0,7040,23323607040
24019453,0,19396,23329423360
24019454,0,8354,23332159488
24019455,0,10903,23335288832
24019456,0,3380,23336222720
24019457,0,17096,23341400064
24019458,0,7074,23343120384
24019459,0,9953,23350558720
24019460,0,11509,23353966592
24019461,0,6284,23356014592
24019462,0,10728,23359291392
24019463,0,11584,23362633728
24019464,0,12476,23365484544
24019465,0,9144,23367057408
24019466,0,10221,23368515584
24019467,0,9497,23369498624
24019468,0,8797,23370350592
24019469,0,15418,23371563008
24019470,0,4857,23371825152
24019471,0,11746,23372414976
24019472,0,9916,23372939264
24019473,0,2883,23373086720
24019474,0,11812,23373692928
24019475,0,6261,23374004224
24019476,0,10413,23374544896
24019477,0,8305,23374970880
24019478,0,8311,23375413248
24019479,0,11300,23375986688
24019480,0,8094,23377543168
24019481,0,9531,23383392256
24019482,0,10334,23389339648
24019483,0,11347,23391289344
24019484,0,10346,23394631680
24019485,0,10934,23395631104
24019486,0,14891,23400857600
24019487,0,11446,23404347392
24019488,0,15515,23409000448
24019489,0,9082,23411769344
24019490,0,8680,23414308864
24019491,0,10347,23417569280
24019492,0,11678,23420862464
24019493,0,4801,23421943808
24019494,0,16094,23429185536
24019495,0,8404,23431593984
24019496,0,4563,23433117696
24019497,0,6740,23434952704
24019498,0,13096,23437721600
24019499,0,9340,23437721600
24019500,0,12021,23437721600
24019501,0,14092,23437721600
24019502,0,6077,23437721600
24019503,0,7051,23437721600
24019504,0,13012,23437721600
24019505,0,13890,23437721600
24019506,0,7444,23437721600
24019507,0,10430,23437754368
24019508,0,8701,23437754368
24019509,0,9213,23437754368
24019510,0,7685,23437754368
24019511,0,8481,23437754368
24019512,0,9722,23437754368
24019513,0,7455,23437754368
24019514,0,11227,23437754368
24019515,0,8384,23437754368
24019516,0,7046,23437754368
24019517,0,1976,23437754368
24019518,0,10752,23437754368
24019519,0,4650,23437754368
24019520,0,1577,23437754368
24019521,0,11020,23437754368
24019522,0,4929,23437754368
24019523,0,10118,23437754368
24019524,0,8212,23437754368
24019525,0,15075,23437770752
24019526,0,1822,23437770752
24019527,0,5818,23437770752
24019528,0,8043,23437770752
24019529,0,19103,23437770752
24019530,0,9876,23437770752
24019531,0,5854,23437770752
24019532,0,5317,23437770752
24019533,0,12170,23437770752
24019534,0,9092,23437770752
24019535,0,8303,23437770752
24019536,0,9382,23437770752
24019537,0,5751,23438065664
24019538,0,6669,23438065664
24019539,0,11438,23438065664
24019540,0,2856,23438065664
24019541,0,14445,23438311424
24019542,0,11224,23441358848
24019543,0,4206,23442423808
24019544,0,15262,23444996096
24019545,0,8800,23445864448
24019546,0,2596,23446110208
24019547,0,6152,23446683648
24019548,0,13214,23447339008
24019549,0,2979,23447502848
24019550,0,16403,23448289280
24019551,0,9602,23448780800
24019552,0,8923,23449206784
24019553,0,3398,23449403392
24019554,0,4194,23449600000
24019555,0,16614,23450402816
24019556,0,10598,23450910720
24019557,0,8792,23451369472
24019558,0,9713,23451860992
24019559,0,5283,23452123136
24019560,0,9118,23452581888
24019561,0,8145,23453007872
24019562,0,11139,23453564928
24019563,0,7192,23453908992
24019564,0,10941,23454842880
24019565,0,8837,23459119104
24019566,0,7509,23459479552
24019567,0,5866,23460741120
24019568,0,3778,23460855808
24019569,0,15781,23462379520
24019570,0,10115,23463018496
24019571,0,7231,23464640512
24019572,0,5394,23466295296
24019573,0,14498,23470358528
24019574,0,10593,23473455104
24019575,0,8284,23475798016
24019576,0,8659,23478157312
24019577,0,9829,23480827904
24019578,0,11136,23484170240
24019579,0,7088,23486169088
24019580,0,8415,23487283200
24019581,0,10481,23489888256
24019582,0,9616,23492362240
24019583,0,7914,23494639616
24019584,0,11627,23497555968
24019585,0,10891,23500472320
24019586,0,6333,23501963264
24019587,0,13385,23503634432
24019588,0,10694,23504650240
24019589,0,7621,23509073920
24019590,0,10031,23512236032
24019591,0,11311,23513694208
24019592,0,6929,23515250688
24019593,0,7313,23516610560
24019594,0,10857,23517904896
24019595,0,11982,23522574336
24019596,0,7572,23524818944
24019597,0,10769,23527931904
24019598,0,8671,23530668032
24019599,0,8676,23533191168
24019600,0,8830,23535796224
24019601,0,11773,23539384320
24019602,0,15200,23543742464
24019603,0,12167,23547101184
24019604,0,11988,23551983616
24019605,0,6809,23556079616
24019606,0,7255,23558340608
24019607,0,3030,23559274496
24019608,0,8187,23561732096
24019609,0,13370,23565680640
24019610,0,2137,23566532608
24019611,0,8357,23569006592
24019612,0,8239,23570923520
24019613,0,11441,23572594688
24019614,0,19395,23574380544
24019615,0,2607,23574544384
24019616,0,16469,23575396352
24019617,0,6345,23575756800
24019618,0,9882,23576264704
24019619,0,10045,23576788992
24019620,0,9994,23577313280
24019621,0,8066,23577755648
24019622,0,4329,23577985024
24019623,0,19938,23578165248
24019624,0,7599,23578165248
24019625,0,9512,23578165248
24019626,0,8118,23578312704
24019627,0,8896,23578771456
24019628,0,9395,23580770304
24019629,0,9258,23583260672
24019630,0,7194,23583490048
24019631,0,6365,23583490048
24019632,0,9404,23583490048
24019633,0,9047,23583490048
24019634,0,8364,23583490048
24019635,0,4044,23583490048
24019636,0,14693,23583490048
24019637,0,6489,23583490048
24019638,0,8871,23583490048
24019639,0,7269,23583490048
24019640,0,6878,23583490048
24019641,0,6594,23583490048
24019642,0,6002,23583490048
24019643,0,14107,23583490048
24019644,0,5755,23583490048
24019645,0,8335,23583490048
24019646,0,2343,23583490048
24019647,0,8746,23583490048
24019648,0,13877,23583490048
24019649,0,7447,23583490048
24019650,0,3836,23583490048
24019651,0,12056,23583490048
24019652,0,8512,23583490048
24019653,0,15464,23583490048
24019654,0,6315,23583490048
24019655,0,10237,23583490048
24019656,0,9812,23583490048
24019657,0,7641,23583490048
24019658,0,9721,23583490048
24019659,0,11744,23583490048
24019660,0,5106,23583490048
24019661,0,8255,23583490048
24019662,0,8011,23583490048
24019663,0,11224,23583490048
24019664,0,7851,23583490048
24019665,0,8766,23583490048
24019666,0,7059,23583490048
24019667,0,7757,23583490048
24019668,0,4982,23583490048
24019669,0,6763,23583490048
24019670,0,13276,23583490048
24019671,0,10558,23583490048
24019672,0,7395,23583490048
24019673,0,8222,23583490048
24019674,0,5966,23583490048
24019675,0,9100,23583490048
24019676,0,7640,23583490048
24019677,0,9007,23583490048
24019678,0,7189,23583490048
24019679,0,8985,23583490048
24019680,0,8884,23583490048
24019681,0,6334,23583490048
24019682,0,7654,23583490048
24019683,0,8774,23583490048
24019684,0,9201,23583490048
24019685,0,9705,23583490048
24019686,0,8640,23583490048
24019687,0,9772,23583490048
24019688,0,5488,23583490048
24019689,0,9561,23583490048
24019690,0,7778,23583490048
24019691,0,8567,23583490048
24019692,0,13451,23583490048
24019693,0,8296,23583490048
24019694,0,5998,23583490048
24019695,0,13435,23583490048
24019696,0,9249,23583490048
24019697,0,2364,23583490048
24019698,0,19886,23583490048
24019699,0,7429,23583490048
24019700,0,10944,23583490048
24019701,0,6966,23583490048
24019702,0,5933,23583490048
24019703,0,17855,23583490048
24019704,0,8798,23583490048
24019705,0,9543,23583490048
24019706,0,7093,23583490048
24019707,0,10698,23583490048
24019708,0,10271,23583490048
24019709,0,5811,23583490048
24019710,0,6385,23583490048
24019711,0,10987,23583490048
24019712,0,2598,23583490048
24019713,0,188,23583490048
24019714,0,7308,23583490048
24019715,0,22929,23583490048
24019716,0,3766,23583490048
24019717,0,16829,23583490048
24019718,0,10589,23583490048
24019719,0,7327,23583490048
24019720,0,7934,23583490048
24019721,0,3769,23583490048
24019722,0,7174,23583490048
24019723,0,11881,23583490048
24019724,0,7211,23583490048
24019725,0,7341,23583490048
24019726,0,6683,23583490048
24019727,0,7920,23583490048
24019728,0,7127,23583490048
24019729,0,8124,23583490048
24019730,0,5067,23583490048
24019731,0,12223,23583490048
24019732,0,5910,23583490048
24019733,0,6635,23583490048
24019734,0,2015,23583490048
24019735,0,12790,23583490048
24019736,0,8211,23583490048
24019737,0,7510,23583490048
24019738,0,9975,23583490048
24019739,0,6232,23583490048
24019740,0,15161,23583490048
24019741,0,6795,23583490048
24019742,0,4341,23583490048
24019743,0,12642,23583490048
24019744,0,7345,23583490048
24019745,0,9613,23583490048
24019746,0,5417,23583490048
24019747,0,11847,23583490048
24019748,0,8815,23583490048
24019749,0,7000,23583490048
24019750,0,6855,23583490048
24019751,0,7655,23583490048
24019752,0,6405,23583490048
24019753,0,7248,23583490048
24019754,0,11119,23583490048
24019755,0,5010,23583490048
24019756,0,4764,23583490048
24019757,0,26757,23583490048
24019758,0,10289,23583490048
24019759,0,7533,23583490048
24019760,0,9166,23583490048
24019761,0,8187,23583490048
24019762,0,9614,23583490048
24019763,0,4100,23583490048
24019764,0,6363,23583490048
24019765,0,10035,23583490048
24019766,0,8735,23583490048
24019767,0,11728,23583490048
24019768,0,9437,23583490048
24019769,0,5654,23583490048
24019770,0,7571,23583490048
24019771,0,6838,23583490048
24019772,0,5736,23583490048
24019773,0,4808,23583490048
24019774,0,10197,23583490048
24019775,0,8319,23583490048
24019776,0,7085,23583490048
24019777,0,6104,23583490048
24019778,0,10333,23583490048
24019779,0,6786,23583490048
24019780,0,9623,23583490048
24019781,0,10144,23583506432
24019782,0,8439,23583506432
24019783,0,10678,23583506432
24019784,0,6991,23583506432
24019785,0,8497,23583506432
24019786,0,7958,23583506432
24019787,0,6109,23583506432
24019788,0,12716,23583506432
24019789,0,7104,23583506432
24019790,0,9777,23583506432
24019791,0,6309,23583506432
24019792,0,7988,23583506432
24019793,0,7754,23583506432
24019794,0,10280,23583506432
24019795,0,8194,23583506432
24019796,0,7459,23583506432
24019797,0,10561,23583506432
24019798,0,7521,23583506432
24019799,0,6879,23583506432
24019800,0,7453,23583506432
24019801,0,6676,23583506432
24019802,0,13812,23583506432
24019803,0,4642,23583506432
24019804,0,12785,23583506432
24019805,0,12358,23583506432
24019806,0,2609,23583506432
24019807,0,3384,23583506432
24019808,0,19058,23583506432
24019809,0,5320,23583506432
24019810,0,6417,23583506432
24019811,0,16142,23583506432
24019812,0,14374,23583506432
24019813,0,6023,23583506432
24019814,0,7852,23583506432
24019815,0,9854,23583506432
24019816,0,5534,23583506432
24019817,0,9907,23583506432
24019818,0,3456,23583506432
24019819,0,17420,23583506432
24019820,0,5520,23583506432
24019821,0,4063,23583506432
24019822,0,15151,23583506432
24019823,0,10644,23583506432
24019824,0,4698,23583506432
24019825,0,11623,23583506432
24019826,0,10557,23583506432
24019827,0,4637,23583506432
24019828,0,11997,23583506432
24019829,0,4759,23583506432
24019830,0,1855,23583522816
24019831,0,7317,23583522816
24019832,0,129,23583522816
24019833,0,1434,23583522816
