block_number,wait_time_us,execution_time_us,rss_bytes
24019447,0,11539,23301898240
24019448,0,10410,23305863168
24019449,0,11014,23311843328
24019450,0,10089,23312842752
24019451,0,7351,23313317888
24019452,0,6558,23313678336
24019453,0,18266,23314808832
24019454,0,8180,23315267584
24019455,0,10993,23315873792
24019456,0,3331,23316398080
24019457,0,16534,23317250048
24019458,0,7165,23317626880
24019459,0,9605,23318118400
24019460,0,10319,23318642688
24019461,0,6496,23318970368
24019462,0,10486,23319511040
24019463,0,11710,23320756224
24019464,0,11653,23321378816
24019465,0,8415,23321853952
24019466,0,9291,23322312704
24019467,0,8879,23322755072
24019468,0,8640,23323164672
24019469,0,15641,23324000256
24019470,0,4947,23324262400
24019471,0,12090,23324934144
24019472,0,9820,23325425664
24019473,0,2884,23325573120
24019474,0,12097,23326244864
24019475,0,6272,23326556160
24019476,0,10501,23327817728
24019477,0,8504,23328374784
24019478,0,8343,23328768000
24019479,0,11286,23329456128
24019480,0,8282,23329865728
24019481,0,9305,23330553856
24019482,0,9541,23331028992
24019483,0,11257,23331815424
24019484,0,10442,23332356096
24019485,0,11167,23332913152
24019486,0,13881,23333765120
24019487,0,10953,23334322176
24019488,0,15147,23335256064
24019489,0,9371,23335731200
24019490,0,8802,23336271872
24019491,0,8979,23336730624
24019492,0,11204,23337287680
24019493,0,4224,23337517056
24019494,0,15452,23338352640
24019495,0,7603,23338926080
24019496,0,4485,23339155456
24019497,0,6486,23339646976
24019498,0,12406,23340269568
24019499,0,8714,23340875776
24019500,0,11911,23341498368
24019501,0,13988,23342563328
24019502,0,6422,23345676288
24019503,0,7302,23346036736
24019504,0,13354,23346708480
24019505,0,14171,23347494912
24019506,0,7634,23347888128
24019507,0,10444,23348445184
24019508,0,8797,23348903936
24019509,0,9234,23349395456
24019510,0,7713,23349788672
24019511,0,8496,23350247424
24019512,0,9664,23350738944
24019513,0,7386,23351083008
24019514,0,11002,23351607296
24019515,0,8341,23351984128
24019516,0,7076,23352311808
24019517,0,1945,23352426496
24019518,0,10835,23352901632
24019519,0,4535,23353098240
24019520,0,1584,23353196544
24019521,0,10907,23353688064
24019522,0,4899,23353933824
24019523,0,9842,23354359808
24019524,0,8072,23354720256
24019525,0,14913,23355408384
24019526,0,1833,23355506688
24019527,0,5736,23355768832
24019528,0,7955,23356129280
24019529,0,18908,23356915712
24019530,0,10082,23357374464
24019531,0,5936,23357652992
24019532,0,5238,23357849600
24019533,0,12062,23358390272
24019534,0,8931,23358783488
24019535,0,8343,23359176704
24019536,0,9240,23359569920
24019537,0,5731,23359881216
24019538,0,6929,23360192512
24019539,0,12070,23360700416
