block_number,cache_size_bytes
24020675,4318046
24020676,3484651
24020677,2919144
24020678,3707615
24020679,3881862
24020680,2347920
24020681,3258301
24020682,2128570
24020683,2344230
24020684,1846796
24020685,4925998
24020686,4765712
24020687,4255131
24020688,4216289
24020689,2064827
24020690,4187803
24020691,2385747
24020692,2752232
24020693,2566950
24020694,2990652
24020695,2461776
24020696,3081859
24020697,4021047
24020698,3751182
24020699,4099391
24020700,2920753
24020701,3222400
24020702,3029656
24020703,3241431
24020704,3540068
24020705,3300326
24020706,3037898
24020707,3103366
24020708,2280387
24020709,1988496
24020710,3114254
24020711,1875330
24020712,2148990
24020713,3457481
24020714,3699445
24020715,3825992
24020716,3546144
24020717,3286330
24020718,3672952
24020719,2071619
24020720,2501061
24020721,538091
24020722,4299818
24020723,3626054
24020724,3743979
24020725,3065892
24020726,2670356
24020727,2957328
24020728,3300628
24020729,2285230
24020730,4146274
24020731,4274662
24020732,3136549
24020733,3026839
24020734,179843
24020735,3477175
24020736,4559401
24020737,229322
24020738,929232
24020739,4064692
24020740,5146329
24020741,2668769
24020742,3368047
24020743,2338871
24020744,2154171
24020745,2016565
24020746,2754451
24020747,2967122
24020748,2749684
24020749,2737172
24020750,2260630
24020751,3165697
24020752,2482812
24020753,3224609
24020754,3256718
24020755,1527142
24020756,2338096
24020757,2282873
24020758,4299131
24020759,2868598
24020760,3826444
24020761,2034506
24020762,1679388
24020763,2814538
24020764,2504802
24020765,2437178
24020766,2705811
24020767,2798762
24020768,558680
24020769,2268896
24020770,3372684
24020771,2830352
24020772,315848
24020773,3153184
24020774,2920816
24020775,4968640
24020776,2627835
24020777,3238610
24020778,3081647
24020779,2411932
24020780,2629531
24020781,2661011
24020782,2030457
24020783,2908819
24020784,1949872
24020785,2220360
24020786,968531
24020787,2064343
24020788,2847543
24020789,2456676
24020790,2566081
24020791,1836394
24020792,2195701
24020793,360008
24020794,2718037
24020795,4338134
24020796,2432455
24020797,2306721
24020798,2616914
24020799,440967
24020800,2457045
24020801,2536460
24020802,2226823
24020803,2100749
24020804,3070115
24020805,3450082
24020806,2403032
24020807,2730724
24020808,2805336
24020809,2197432
24020810,1606893
24020811,2974835
24020812,3323767
24020813,1963368
24020814,1190910
24020815,2564681
24020816,3153778
24020817,2549388
24020818,2166113
24020819,910197
24020820,2361922
24020821,3647387
24020822,2511805
24020823,2512507
24020824,2128667
24020825,3047207
24020826,4035464
24020827,2709701
24020828,2264129
24020829,3250696
24020830,342056
24020831,2076370
24020832,4582065
24020833,3020167
24020834,1959990
24020835,3233599
24020836,2816337
24020837,2219465
24020838,2317224
24020839,2115053
24020840,2239646
24020841,3217409
24020842,2957620
24020843,711065
24020844,3558041
24020845,2329412
24020846,2173661
24020847,990699
24020848,2496598
24020849,2776694
24020850,427228
24020851,1974449
24020852,2178950
24020853,2670018
24020854,2842889
24020855,3301102
24020856,2156937
24020857,2620444
24020858,3353474
24020859,4256590
24020860,1893280
24020861,2376751
24020862,3354762
24020863,1396150
24020864,2579232
24020865,1286905
24020866,3951892
24020867,4031677
24020868,2603065
24020869,2621074
24020870,2594253
24020871,2670707
24020872,2617083
24020873,2278535
24020874,3618725
24020875,1802345
24020876,2464915
24020877,2177358
24020878,2505118
24020879,2828910
24020880,614478
24020881,1828142
24020882,357947
24020883,1222509
24020884,4622782
24020885,2360670
24020886,2492662
24020887,2861406
24020888,2010641
24020889,1983907
24020890,2391115
24020891,3898186
24020892,2928385
24020893,2409091
24020894,1527047
24020895,208116
24020896,3829270
24020897,2210201
24020898,214848
24020899,4824227
24020900,2130251
24020901,3039586
24020902,1952776
24020903,1993967
24020904,2410143
24020905,2765821
24020906,1727488
24020907,3487462
24020908,2293424
24020909,2667699
24020910,1779283
24020911,3401599
24020912,3761439
24020913,2661273
24020914,2787516
24020915,2250178
24020916,1822646
24020917,2509849
24020918,1724350
24020919,3251225
24020920,2112541
24020921,302931
24020922,3558749
24020923,1936570
24020924,2419484
24020925,293858
24020926,3475768
24020927,1982475
24020928,3108635
24020929,2474183
24020930,2440215
24020931,1933506
24020932,1835442
24020933,2153416
24020934,364854
24020935,2002465
24020936,2452394
24020937,2396577
24020938,2771523
24020939,2537348
24020940,2820564
24020941,2437141
24020942,3259273
24020943,2065814
24020944,2089483
24020945,1660939
24020946,237758
24020947,2620457
24020948,3199387
24020949,2624402
24020950,2990630
24020951,2948173
24020952,2423708
24020953,3122613
24020954,2648844
24020955,1512291
24020956,2268905
24020957,3301495
24020958,2258281
24020959,2770645
24020960,2699820
24020961,1997806
24020962,2687076
24020963,2393260
24020964,2572314
24020965,460454
24020966,3686619
24020967,3284222
24020968,962850
24020969,3123003
24020970,2757691
24020971,2961844
24020972,1857244
24020973,2447280
24020974,2445860
24020975,1891337
24020976,2403316
24020977,1773338
24020978,827413
24020979,2278027
24020980,2430022
24020981,1653013
24020982,2986123
24020983,291221
24020984,3358780
24020985,2808139
24020986,2406244
24020987,2478876
24020988,1948050
24020989,2410730
24020990,2044693
24020991,3040267
24020992,2081701
24020993,2364918
24020994,2292381
24020995,3510789
24020996,2120096
24020997,2368334
24020998,125831
24020999,3827320
24021000,2294725
24021001,2701532
24021002,2285268
24021003,2709605
24021004,2770158
24021005,2091702
24021006,245477
24021007,2255079
24021008,2974533
24021009,2547234
24021010,2448401
24021011,2353210
24021012,2734647
24021013,1621541
24021014,420568
24021015,2396466
24021016,3475743
24021017,2189106
24021018,3074680
24021019,2252833
24021020,1921254
24021021,2577938
24021022,2091516
24021023,2307730
24021024,2318400
24021025,3646625
24021026,3593445
24021027,1907508
24021028,2225802
24021029,2303113
24021030,2445962
24021031,2726516
24021032,2562318
24021033,2647155
24021034,2392278
24021035,1955275
24021036,2066190
24021037,2442699
24021038,1596775
24021039,2170245
24021040,1405343
24021041,2006110
24021042,1918236
24021043,1630918
24021044,1817026
24021045,498179
24021046,2373039
24021047,2627415
24021048,2764465
24021049,2410474
24021050,971963
24021051,2912019
24021052,2801082
24021053,2548778
24021054,1960225
24021055,369824
24021056,4788890
24021057,2600473
24021058,2862554
24021059,2290278
24021060,2651769
24021061,2274075
24021062,1482544
24021063,2336794
24021064,2073729
24021065,1940620
24021066,3652663
24021067,1325025
24021068,2387070
24021069,2703898
24021070,2222118
24021071,2984834
24021072,2308873
24021073,1545953
24021074,2152339
24021075,1712997
24021076,2152706
24021077,2078419
24021078,2174109
24021079,1869212
24021080,1873222
24021081,520762
24021082,3213636
24021083,2260225
24021084,2267175
24021085,2454527
24021086,634063
24021087,2970976
24021088,2531226
24021089,1841575
24021090,1803007
24021091,2962930
24021092,2086460
24021093,763689
24021094,1989843
24021095,2565767
24021096,2630526
24021097,2583561
24021098,2401791
24021099,3310169
24021100,1910568
24021101,4109335
24021102,1880770
24021103,2440142
24021104,2805353
24021105,2365778
24021106,2724651
24021107,2515831
24021108,3319127
24021109,2661740
24021110,2387344
24021111,4027001
24021112,2562820
24021113,2335383
24021114,3308930
24021115,2777110
24021116,2646400
24021117,2941092
24021118,2219167
24021119,2154940
24021120,2816586
24021121,2612177
24021122,3111019
24021123,2728676
24021124,2112355
24021125,2245708
24021126,2640979
24021127,2134381
24021128,2869438
24021129,2175710
24021130,1921948
24021131,2847988
24021132,3349400
24021133,3073864
24021134,3217264
24021135,620323
24021136,4381650
24021137,1581132
24021138,5165130
24021139,3523564
24021140,3046408
24021141,2272270
24021142,2799732
24021143,2507689
24021144,2914511
24021145,2650820
24021146,3701961
24021147,1705834
24021148,4660814
24021149,4188592
24021150,3909889
24021151,2020363
24021152,2855873
24021153,4852638
24021154,2729534
24021155,4597125
24021156,4817848
24021157,6603157
24021158,456494
24021159,4546341
24021160,4531720
24021161,3172854
24021162,3184739
24021163,3734935
24021164,3054818
24021165,2689279
24021166,5204106
24021167,7102909
24021168,4291493
24021169,6238993
24021170,3102109
24021171,2773158
24021172,2216132
24021173,2393080
24021174,2327244
24021175,2581597
24021176,4292592
24021177,5105877
24021178,1346462
24021179,1270218
24021180,2063059
24021181,3406069
24021182,4205266
24021183,3028853
24021184,4726878
24021185,2053662
24021186,2580219
24021187,1733195
24021188,2930250
24021189,3178761
24021190,751956
24021191,4928654
24021192,4664242
24021193,2149562
24021194,3975658
24021195,2911835
24021196,2329490
24021197,5556246
24021198,54092
