op_type,op_name,value_bytes,count
11,CREATE,69,5
11,CREATE,70,6
11,CREATE,71,9
11,CREATE,72,7
11,CREATE,73,4
11,CREATE,74,3
11,CREATE,75,1
11,CREATE,76,3
11,CREATE,77,2
11,CREATE,78,6
11,CREATE,79,7
11,CREATE,81,6
11,CREATE,82,2
11,CREATE,83,6
11,CREATE,84,2
11,CREATE,85,2
11,CREATE,86,6
11,CREATE,87,6
11,CREATE,88,2
11,CREATE,89,4
11,CREATE,90,1
11,CREATE,91,4
11,CREATE,92,46
11,CREATE,93,5
11,CREATE,94,3
11,CREATE,95,4
11,CREATE,96,4
11,CREATE,97,588
11,CREATE,98,4
11,CREATE,99,4
11,CREATE,100,5
11,CREATE,101,5
11,CREATE,102,4
11,CREATE,103,3
11,CREATE,104,1
11,CREATE,105,7
11,CREATE,107,6
11,CREATE,108,3
11,CREATE,109,2
11,CREATE,110,1
11,CREATE,111,11
11,CREATE,112,1
11,CREATE,113,10
11,CREATE,114,2
11,CREATE,115,2
11,CREATE,116,6
11,CREATE,117,14
11,CREATE,118,22
11,CREATE,119,15
11,CREATE,120,10
11,CREATE,121,2
11,CREATE,122,3
11,CREATE,123,7
11,CREATE,124,14
11,CREATE,125,21
11,CREATE,126,3
11,CREATE,127,7
11,CREATE,128,1
11,CREATE,129,7
11,CREATE,130,13
11,CREATE,131,1
11,CREATE,132,5
11,CREATE,133,5
11,CREATE,134,15
11,CREATE,135,5
11,CREATE,136,6
11,CREATE,137,15
11,CREATE,138,17
11,CREATE,139,6
11,CREATE,140,2
11,CREATE,141,113
11,CREATE,142,12
11,CREATE,143,5
11,CREATE,145,4
11,CREATE,146,8
11,CREATE,147,7
11,CREATE,148,21
11,CREATE,149,16
11,CREATE,150,6
11,CREATE,151,8
11,CREATE,152,12
11,CREATE,153,2
11,CREATE,154,2
11,CREATE,155,1
11,CREATE,156,11
11,CREATE,157,1
11,CREATE,158,13
11,CREATE,159,5
11,CREATE,161,20
11,CREATE,162,4
11,CREATE,163,4
11,CREATE,164,5
11,CREATE,165,1
11,CREATE,166,1
11,CREATE,167,7
11,CREATE,168,3
11,CREATE,169,4
11,CREATE,170,7
11,CREATE,171,5
11,CREATE,172,6
11,CREATE,173,4
11,CREATE,174,6
11,CREATE,175,2
11,CREATE,176,1
11,CREATE,177,2
11,CREATE,178,5
11,CREATE,180,13
11,CREATE,181,2
11,CREATE,182,6
11,CREATE,184,3
11,CREATE,185,5
11,CREATE,186,12
11,CREATE,188,7
11,CREATE,190,1
11,CREATE,191,2
11,CREATE,193,1
11,CREATE,194,5
11,CREATE,195,1
11,CREATE,196,1
11,CREATE,197,9
11,CREATE,198,4
11,CREATE,199,2
11,CREATE,200,1
11,CREATE,201,1
11,CREATE,202,5
11,CREATE,203,2
11,CREATE,205,4
11,CREATE,206,2
11,CREATE,207,9
11,CREATE,208,5
11,CREATE,209,9
11,CREATE,211,6
11,CREATE,212,1
11,CREATE,213,9
11,CREATE,215,12
11,CREATE,216,1
11,CREATE,217,7
11,CREATE,218,395
11,CREATE,219,1
11,CREATE,220,1
11,CREATE,221,5
11,CREATE,222,6
11,CREATE,223,2
11,CREATE,225,185
11,CREATE,226,6327
11,CREATE,228,4
11,CREATE,229,8
11,CREATE,230,6080
11,CREATE,231,1
11,CREATE,232,6
11,CREATE,235,4
11,CREATE,236,4
11,CREATE,238,5
11,CREATE,239,1
11,CREATE,240,2
11,CREATE,241,3
11,CREATE,243,3
11,CREATE,245,3
11,CREATE,247,6
11,CREATE,248,3
11,CREATE,249,2
11,CREATE,250,1
11,CREATE,251,2
11,CREATE,252,4
11,CREATE,253,5
11,CREATE,254,3
11,CREATE,255,3
11,CREATE,256,2
11,CREATE,258,3
11,CREATE,259,4
11,CREATE,260,6
11,CREATE,261,7
11,CREATE,262,6
11,CREATE,264,3
11,CREATE,265,3
11,CREATE,266,1
11,CREATE,267,1
11,CREATE,270,3
11,CREATE,271,2
11,CREATE,273,4
11,CREATE,274,1
11,CREATE,275,5
11,CREATE,276,5
11,CREATE,277,1
11,CREATE,278,7
11,CREATE,280,3
11,CREATE,281,1
11,CREATE,282,8
11,CREATE,283,1
11,CREATE,284,1
