block_number,wait_time_us,execution_time_us,rss_bytes
24019447,0,15331,23303143424
24019448,0,11225,23308140544
24019449,0,11389,23314743296
24019450,0,10424,23318183936
24019451,0,7510,23320592384
24019452,0,7189,23322902528
24019453,0,18508,23328866304
24019454,0,8271,23331962880
24019455,0,10899,23334764544
24019456,0,3421,23335469056
24019457,0,18735,23338795008
24019458,0,7960,23340236800
24019459,0,10587,23341924352
24019460,0,10368,23349035008
24019461,0,6618,23351083008
24019462,0,10692,23354327040
24019463,0,13151,23358373888
24019464,0,12440,23362224128
24019465,0,8683,23365058560
24019466,0,9727,23367827456
24019467,0,9692,23369842688
24019468,0,9696,23371268096
24019469,0,16713,23372431360
24019470,0,5031,23372709888
24019471,0,12205,23373332480
24019472,0,9922,23373840384
24019473,0,2900,23374020608
24019474,0,12036,23374643200
24019475,0,6362,23375003648
24019476,0,10455,23375511552
24019477,0,8375,23379935232
24019478,0,8754,23382016000
24019479,0,12245,23392927744
24019480,0,8544,23395205120
24019481,0,9202,23398301696
24019482,0,9252,23398547456
24019483,0,11224,23401840640
24019484,0,10957,23405379584
24019485,0,11543,23409164288
24019486,0,14691,23413522432
24019487,0,11753,23417044992
24019488,0,16520,23420190720
24019489,0,10617,23422173184
24019490,0,9276,23423729664
24019491,0,9179,23424679936
24019492,0,11496,23427072000
24019493,0,4388,23428481024
24019494,0,15979,23433216000
24019495,0,7768,23435788288
24019496,0,4631,23437443072
24019497,0,6681,23439474688
24019498,0,12965,23442374656
24019499,0,10045,23444094976
24019500,0,12549,23445454848
24019501,0,14311,23446831104
24019502,0,6343,23447420928
24019503,0,7369,23448174592
24019504,0,13748,23449157632
24019505,0,14195,23449862144
24019506,0,7537,23451418624
24019507,0,10718,23457185792
24019508,0,9748,23461609472
24019509,0,10065,23461675008
24019510,0,8001,23463165952
24019511,0,8569,23464361984
24019512,0,9719,23467245568
24019513,0,7771,23469883392
24019514,0,11976,23473405952
24019515,0,8861,23476256768
24019516,0,7183,23478435840
24019517,0,2124,23479156736
24019518,0,11265,23482023936
24019519,0,4985,23483039744
24019520,0,1763,23483400192
24019521,0,11957,23485612032
24019522,0,5718,23486758912
24019523,0,10991,23488905216
24019524,0,8354,23493722112
24019525,0,15803,23498358784
24019526,0,2066,23499063296
24019527,0,5948,23500816384
24019528,0,8451,23503454208
24019529,0,20466,23508041728
24019530,0,11264,23509696512
24019531,0,6426,23510679552
24019532,0,5450,23515594752
24019533,0,13081,23518494720
24019534,0,9898,23518904320
24019535,0,8377,23519887360
24019536,0,9237,23522852864
24019537,0,5559,23523278848
24019538,0,7027,23526965248
24019539,0,12644,23530930176
24019540,0,3093,23531880448
24019541,0,15847,23537106944
24019542,0,11571,23540695040
24019543,0,4383,23542153216
24019544,0,15097,23546462208
24019545,0,9741,23548559360
24019546,0,3068,23549181952
24019547,0,6214,23550312448
24019548,0,14775,23552950272
24019549,0,3367,23553638400
24019550,0,17092,23555440640
24019551,0,9665,23556554752
24019552,0,9199,23559389184
24019553,0,3394,23560454144
24019554,0,4170,23561748480
24019555,0,16981,23567040512
24019556,0,10929,23570448384
24019557,0,9794,23573053440
24019558,0,11362,23575134208
24019559,0,5822,23575707648
24019560,0,9410,23576248320
24019561,0,8175,23576657920
24019562,0,11245,23577231360
24019563,0,7136,23577624576
24019564,0,10495,23578165248
24019565,0,8612,23578607616
24019566,0,7981,23579033600
24019567,0,5144,23579312128
24019568,0,3479,23579508736
24019569,0,16066,23584522240
24019570,0,10743,23587815424
24019571,0,7647,23591501824
24019572,0,5255,23591501824
24019573,0,12803,23591501824
24019574,0,9687,23591501824
24019575,0,7592,23591501824
24019576,0,8163,23591501824
24019577,0,9062,23591501824
24019578,0,9433,23591501824
24019579,0,6308,23591501824
24019580,0,7412,23591501824
24019581,0,8943,23591501824
24019582,0,7800,23591501824
24019583,0,7413,23591501824
24019584,0,9960,23591501824
24019585,0,9789,23591501824
24019586,0,5349,23591501824
24019587,0,11322,23591501824
24019588,0,9737,23591501824
24019589,0,7080,23591501824
24019590,0,8888,23591501824
24019591,0,9345,23591501824
24019592,0,6199,23591501824
24019593,0,6840,23591501824
24019594,0,10210,23591501824
24019595,0,10725,23591501824
24019596,0,6914,23591501824
24019597,0,9274,23591501824
24019598,0,8291,23591501824
24019599,0,7766,23591501824
24019600,0,7696,23591501824
24019601,0,10918,23591501824
24019602,0,12691,23591501824
24019603,0,10951,23591501824
24019604,0,10559,23591501824
24019605,0,6383,23591501824
24019606,0,6485,23591501824
24019607,0,2739,23591501824
24019608,0,6700,23591501824
24019609,0,12075,23591501824
24019610,0,2004,23591501824
24019611,0,7451,23591501824
24019612,0,7482,23591501824
24019613,0,9730,23591501824
24019614,0,17180,23591501824
24019615,0,2445,23591501824
24019616,0,15216,23591501824
24019617,0,6001,23591501824
24019618,0,9231,23591501824
24019619,0,9443,23591501824
24019620,0,9426,23591501824
24019621,0,7516,23591501824
24019622,0,4039,23591501824
24019623,0,19730,23591501824
24019624,0,7623,23591501824
24019625,0,9558,23591501824
24019626,0,7886,23591501824
24019627,0,8345,23591501824
24019628,0,8797,23591501824
24019629,0,8778,23591501824
24019630,0,6162,23591501824
24019631,0,5839,23591501824
24019632,0,9217,23591501824
24019633,0,9045,23591501824
24019634,0,8282,23591501824
24019635,0,3990,23591501824
24019636,0,14844,23591501824
24019637,0,6426,23591501824
24019638,0,8870,23591501824
