block_number,execution_time_us,rss_bytes
24019447,3914654,178208768
24019448,2722783,273858560
24019449,2914540,371703808
24019450,2439125,450887680
24019451,1584217,502202368
24019452,664591,522731520
24019453,3224754,624508928
24019454,1627001,676085760
24019455,1768714,731250688
24019456,960999,761413632
24019457,2432167,836829184
24019458,1397525,880148480
24019459,1429504,924647424
24019460,1256648,963461120
24019461,687490,983728128
24019462,1580325,1032667136
24019463,972934,1061666816
24019464,1650007,1112309760
24019465,1069298,1145421824
24019466,948669,1174847488
24019467,1119438,1208549376
24019468,783037,1231175680
24019469,1214600,1266106368
24019470,625830,1284849664
24019471,1935588,1345552384
24019472,1418488,1386921984
24019473,188726,1392394240
24019474,1975175,1453670400
24019475,764532,1476247552
24019476,962136,1504378880
24019477,834103,1528152064
24019478,1083464,1560608768
24019479,1111883,1593163776
24019480,704977,1613316096
24019481,1129154,1647362048
24019482,1826132,1703591936
24019483,917654,1730052096
24019484,1683509,1781596160
24019485,682420,1799847936
24019486,1277682,1836892160
24019487,878316,1861058560
24019488,860134,1885716480
24019489,1164657,1920909312
24019490,973055,1949138944
24019491,663592,1967489024
24019492,676818,1986232320
24019493,733858,2009104384
24019494,1770029,2061778944
24019495,733607,2082504704
24019496,307396,2091073536
24019497,410440,2103328768
24019498,1916569,2161491968
24019499,763300,2183479296
24019500,962892,2210873344
24019501,838921,2234384384
24019502,539674,2249867264
24019503,673788,2268971008
24019504,940208,2295824384
24019505,997555,2323742720
24019506,538579,2339012608
24019507,966526,2367258624
24019508,797252,2390261760
24019509,909348,2414854144
24019510,768850,2436251648
24019511,692845,2454896640
24019512,646274,2472476672
24019513,592137,2489122816
24019514,961916,2516942848
24019515,687937,2535391232
24019516,626868,2552954880
24019517,379879,2562965504
24019518,1267464,2599616512
24019519,617696,2615934976
24019520,567765,2632253440
24019521,1623824,2680373248
24019522,749240,2699788288
24019523,597993,2715648000
24019524,1422884,2755690496
24019525,1320040,2792783872
24019526,176422,2797207552
24019527,481249,2809970688
24019528,925933,2834546688
24019529,1534767,2877538304
24019530,657095,2894364672
24019531,412306,2905604096
24019532,614475,2922348544
24019533,956996,2949087232
24019534,908721,2973810688
24019535,590589,2990227456
24019536,649807,3008004096
24019537,447166,3019997184
24019538,381118,3030089728
24019539,883183,3054534656
24019540,125188,3057795072
24019541,1068076,3086319616
24019542,680735,3103490048
24019543,175320,3108175872
24019544,1119954,3139567616
24019545,662169,3156606976
24019546,201162,3162177536
24019547,330863,3171287040
24019548,1174529,3203301376
24019549,153213,3207512064
24019550,1026776,3234775040
24019551,687886,3252486144
24019552,466562,3264446464
24019553,318667,3271901184
24019554,278344,3279388672
24019555,1242638,3313352704
24019556,958886,3340419072
24019557,789855,3363127296
24019558,1069496,3393306624
24019559,380783,3402416128
24019560,569508,3416424448
24019561,616844,3432579072
24019562,848221,3455877120
24019563,449298,3467952128
24019564,555296,3482664960
24019565,785696,3504177152
24019566,358904,3513712640
24019567,201079,3518676992
24019568,145471,3522363392
24019569,1176691,3553787904
24019570,816493,3575595008
24019571,651420,3595059200
24019572,206591,3600105472
24019573,968711,3625172992
24019574,648194,3641966592
24019575,533210,3655991296
24019576,546595,3670900736
24019577,615159,3687170048
24019578,771870,3708518400
24019579,500026,3722297344
24019580,504324,3736059904
24019581,444258,3747102720
24019582,748040,3765862400
24019583,410864,3776151552
24019584,830999,3798089728
24019585,632749,3815342080
24019586,354863,3824975872
24019587,895488,3848372224
24019588,799103,3870212096
24019589,382362,3879895040
24019590,707658,3898949632
24019591,801004,3920199680
24019592,656518,3938009088
24019593,438060,3949723648
24019594,566776,3963764736
24019595,838996,3987685376
24019596,1142100,4023844864
24019597,495401,4035018752
24019598,423205,4045733888
24019599,819036,4069736448
24019600,427383,4080926720
24019601,806331,4101734400
24019602,664984,4118528000
24019603,483670,4130947072
24019604,747665,4150804480
24019605,562118,4165337088
24019606,346136,4174118912
24019607,121760,4176658432
24019608,597291,4191256576
24019609,1180612,4224499712
24019610,162653,4228661248
24019611,283069,4235345920
24019612,704784,4251287552
24019613,915359,4273618944
24019614,993359,4298145792
24019615,81440,4300144640
24019616,905085,4321869824
24019617,344124,4329766912
24019618,887764,4352671744
