block_number,raw_size_bytes,compressed_size_bytes,file_size_bytes
24020482,100847,46866,46894
24020483,97016,42615,42643
24020484,102226,43550,43578
24020485,88474,44334,44362
24020486,54157,24849,24877
24020487,104352,45043,45071
24020488,146685,67174,67202
24020489,73749,35273,35301
24020490,80616,36009,36037
24020491,134567,74742,74770
24020492,99625,43588,43616
24020493,83505,40585,40613
24020494,140723,59683,59711
24020495,91834,42565,42593
24020496,36786,18885,18913
24020497,71764,31905,31933
24020498,215845,90926,90954
24020499,93112,39959,39987
24020500,94860,45207,45235
24020501,140766,79005,79033
24020502,76389,34951,34979
24020503,23433,12868,12896
24020504,99678,48135,48163
24020505,76022,33264,33292
24020506,143778,60769,60797
24020507,35412,14010,14038
24020508,143048,61265,61293
24020509,92823,42097,42125
24020510,168971,80562,80590
24020511,82216,38776,38804
24020512,153231,68744,68772
24020513,78426,37906,37934
