block_number,wait_time_us,execution_time_us,rss_bytes
24019447,0,14000,23303798784
24019448,0,9793,23308124160
24019449,0,10933,23315054592
24019450,0,10741,23317069824
24019451,0,8618,23318757376
24019452,0,7411,23320133632
24019453,0,19245,23323656192
24019454,0,9222,23325343744
24019455,0,11494,23327424512
24019456,0,3348,23328079872
24019457,0,18638,23331848192
24019458,0,8022,23333306368
24019459,0,10606,23335272448
24019460,0,11254,23337385984
24019461,0,7090,23338762240
24019462,0,11721,23340924928
24019463,0,12097,23343284224
24019464,0,12442,23350886400
24019465,0,9148,23352508416
24019466,0,10336,23354310656
24019467,0,9991,23356243968
24019468,0,9160,23357833216
24019469,0,17053,23360913408
24019470,0,5293,23361945600
24019471,0,13404,23364239360
24019472,0,10685,23366123520
24019473,0,3105,23366664192
24019474,0,13327,23368630272
24019475,0,6778,23369646080
24019476,0,10864,23370711040
24019477,0,8489,23371563008
24019478,0,8509,23372431360
24019479,0,11404,23373103104
24019480,0,8638,23373545472
24019481,0,9618,23374069760
24019482,0,9563,23374577664
24019483,0,11008,23375167488
24019484,0,10479,23375659008
24019485,0,11168,23376232448
24019486,0,13965,23376920576
24019487,0,10702,23377887232
24019488,0,15102,23379656704
24019489,0,9759,23381196800
24019490,0,8991,23385194496
24019491,0,8791,23387734016
24019492,0,11070,23392600064
24019493,0,4112,23394205696
24019494,0,16548,23398170624
24019495,0,8309,23399694336
24019496,0,5070,23400677376
24019497,0,7036,23402004480
24019498,0,13544,23404675072
24019499,0,9859,23406493696
24019500,0,13441,23408967680
24019501,0,15541,23411900416
24019502,0,6942,23413178368
24019503,0,8040,23414669312
24019504,0,14597,23417323520
24019505,0,15799,23420125184
24019506,0,8220,23421255680
24019507,0,11023,23422304256
24019508,0,8706,23426580480
24019509,0,10307,23428366336
24019510,0,8261,23429971968
24019511,0,9428,23431708672
24019512,0,10482,23433658368
24019513,0,8532,23435247616
24019514,0,12268,23437312000
24019515,0,9028,23438966784
24019516,0,7969,23440408576
24019517,0,2164,23440818176
24019518,0,12024,23442767872
24019519,0,4859,23443308544
24019520,0,1635,23443505152
24019521,0,11467,23444537344
24019522,0,5152,23444799488
24019523,0,10220,23445307392
24019524,0,8245,23445684224
24019525,0,15040,23446470656
24019526,0,1807,23446552576
24019527,0,5863,23446863872
24019528,0,8159,23447306240
24019529,0,19149,23448256512
24019530,0,9997,23448780800
24019531,0,5962,23449108480
24019532,0,5248,23449387008
24019533,0,12108,23449993216
24019534,0,8993,23450435584
24019535,0,8304,23450861568
24019536,0,9355,23451303936
24019537,0,5690,23451516928
24019538,0,6829,23451942912
24019539,0,11902,23453171712
24019540,0,3071,23453384704
24019541,0,15579,23456645120
24019542,0,10792,23457251328
24019543,0,3853,23458217984
24019544,0,13912,23460413440
24019545,0,9609,23462281216
24019546,0,2895,23462887424
24019547,0,6471,23464067072
24019548,0,14659,23466639360
24019549,0,3195,23467294720
24019550,0,17295,23470374912
24019551,0,9966,23472226304
24019552,0,9974,23474044928
24019553,0,3705,23474765824
24019554,0,4705,23475666944
24019555,0,18372,23478796288
24019556,0,11672,23481024512
24019557,0,9672,23482712064
24019558,0,9677,23489183744
24019559,0,5648,23491002368
24019560,0,10491,23492804608
24019561,0,9358,23494492160
24019562,0,12438,23496785920
24019563,0,7684,23498260480
24019564,0,11434,23500324864
24019565,0,8728,23501619200
24019566,0,8142,23502716928
24019567,0,5350,23503486976
24019568,0,3832,23504044032
24019569,0,16932,23506386944
24019570,0,10939,23507550208
24019571,0,6868,23507910656
24019572,0,5169,23508205568
24019573,0,13440,23509254144
24019574,0,10589,23510237184
24019575,0,8123,23510892544
24019576,0,9086,23513497600
24019577,0,9805,23513612288
24019578,0,9982,23515447296
24019579,0,6679,23517085696
24019580,0,7685,23518003200
24019581,0,10349,23520477184
24019582,0,9585,23522099200
24019583,0,8331,23523704832
24019584,0,11952,23525769216
24019585,0,11496,23527964672
24019586,0,6154,23529144320
24019587,0,12997,23531192320
24019588,0,11234,23533305856
24019589,0,8306,23534780416
24019590,0,10598,23536599040
24019591,0,11122,23538548736
24019592,0,7440,23539892224
24019593,0,8135,23541465088
24019594,0,11539,23543496704
24019595,0,12643,23545790464
24019596,0,7903,23546986496
24019597,0,10096,23547772928
24019598,0,9373,23548870656
24019599,0,9159,23550459904
24019600,0,8983,23552196608
24019601,0,12273,23554408448
24019602,0,14946,23556980736
24019603,0,12613,23559340032
24019604,0,12312,23561551872
24019605,0,7604,23563026432
24019606,0,7465,23564353536
24019607,0,3240,23564812288
24019608,0,7611,23565598720
24019609,0,13250,23566860288
24019610,0,2133,23567089664
24019611,0,8064,23567646720
24019612,0,8044,23568072704
24019613,0,11622,23568711680
24019614,0,20088,23569776640
24019615,0,2930,23569956864
24019616,0,18180,23570857984
24019617,0,6488,23571202048
24019618,0,9848,23571693568
24019619,0,9988,23572807680
24019620,0,10262,23573626880
24019621,0,8884,23574691840
24019622,0,4226,23574691840
24019623,0,20011,23574691840
24019624,0,7655,23574691840
24019625,0,9612,23574691840
24019626,0,7911,23574691840
24019627,0,8388,23574691840
24019628,0,8788,23574691840
24019629,0,8773,23574691840
24019630,0,6164,23574691840
24019631,0,5844,23574691840
24019632,0,9168,23574691840
24019633,0,8945,23574691840
24019634,0,8332,23574691840
24019635,0,4033,23574691840
24019636,0,14671,23574691840
24019637,0,6443,23574691840
24019638,0,8894,23574691840
24019639,0,7236,23574691840
24019640,0,6855,23574691840
24019641,0,6540,23574691840
24019642,0,6016,23574691840
24019643,0,14046,23574691840
24019644,0,5803,23574691840
24019645,0,8369,23574691840
24019646,0,2362,23574691840
24019647,0,8797,23574691840
24019648,0,13938,23574691840
24019649,0,7501,23574691840
24019650,0,3861,23574691840
24019651,0,12110,23574691840
24019652,0,8507,23574691840
24019653,0,15514,23574691840
24019654,0,6374,23574691840
24019655,0,10280,23574691840
24019656,0,9917,23574691840
24019657,0,7670,23574691840
24019658,0,9735,23574691840
24019659,0,11773,23574691840
24019660,0,5164,23574691840
24019661,0,8283,23574691840
24019662,0,8063,23574691840
24019663,0,11158,23574691840
24019664,0,7891,23574691840
24019665,0,8819,23574691840
24019666,0,7100,23574691840
24019667,0,7805,23574691840
24019668,0,5026,23574691840
24019669,0,6817,23574691840
24019670,0,13322,23574691840
24019671,0,10641,23574691840
24019672,0,7485,23574691840
24019673,0,8268,23574691840
24019674,0,5997,23574691840
24019675,0,9151,23574691840
24019676,0,7709,23574691840
24019677,0,9113,23574691840
24019678,0,7168,23574691840
24019679,0,9002,23574691840
24019680,0,8941,23574691840
24019681,0,6393,23574691840
24019682,0,7688,23574691840
24019683,0,8641,23574691840
24019684,0,8903,23574691840
24019685,0,9733,23574691840
24019686,0,8626,23574691840
24019687,0,9790,23574708224
24019688,0,5282,23574708224
24019689,0,9415,23574708224
24019690,0,7470,23574708224
24019691,0,8442,23574708224
24019692,0,13411,23574708224
24019693,0,8276,23574708224
24019694,0,5993,23574708224
24019695,0,13226,23574708224
24019696,0,8944,23574708224
24019697,0,2267,23574708224
24019698,0,19257,23574708224
24019699,0,7241,23574708224
24019700,0,10899,23574708224
24019701,0,6933,23574708224
24019702,0,5905,23574708224
24019703,0,17834,23574708224
24019704,0,8747,23574708224
24019705,0,9559,23574708224
24019706,0,7091,23574708224
24019707,0,10697,23574708224
24019708,0,10296,23574708224
24019709,0,5768,23574708224
24019710,0,6384,23574708224
24019711,0,10983,23574708224
24019712,0,2603,23574708224
24019713,0,187,23574708224
24019714,0,7289,23574708224
24019715,0,22540,23574708224
24019716,0,3719,23574708224
24019717,0,16718,23574708224
24019718,0,10592,23574708224
24019719,0,7339,23574708224
24019720,0,7957,23574708224
24019721,0,3759,23574708224
24019722,0,7170,23574708224
24019723,0,11941,23574708224
24019724,0,7217,23574708224
24019725,0,7345,23574708224
24019726,0,6718,23574708224
24019727,0,7976,23574708224
24019728,0,7185,23574708224
